Dairy Name,Dairy Address,Milk Cows,Dry Cows,Bred Heifers,Heifers,Calves (4-6 mo.),Calves (0-3 mo.),Total Herd Size,Total Manure Excreted (tons),Total Dry Manure Generated N (lbs),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Average Milk Production (lb per cow per day),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Remove Ratio N,Applied to Remove Ratio P,Applied to Remove Ratio K,Applied to Remove Ratio Salt,Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Unaccounted-for N (lbs),Unaccounted-for P (lbs),Unaccounted-for K (lbs),Unaccounted-for Salt (lbs),Average Milk Production (kg per cow),Average Milk Production (L per cow),Total Annual Milk Production (L),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),USDA Nitrogen from Manure (lbs),Ratio of USDA N to Reported N,UCCE Nitrogen from Manure (lbs),Ratio of UCCE N to Reported N,Manure Conversion Factor (tons per cow per year)
CSUF Ag Foundation Dairy,5450 N Sierra Vista AVE Fresno Fresno 93740,150,35,70,48,25,17,345,5518.11,69076.8,48353.76,11225.73,28310.99,78891.3,7974000.0,31883.34,5105.2,25794.66,142015.74,65.0,22498.42,7358.41,28935.73,637920.67,31883.34,5105.2,25794.66,142015.74,0.79,1.0,0.6,1.79,0.0,0.0,0.0,0.0,54381.759999999995,12463.61,54730.39,779936.41,25855.34000000001,3867.3199999999997,-624.739999999998,-559029.3700000001,29.48348,28.62845908,1933136.6993769999,30184859.34,15.614446381224774,71293.9812,1.032097335140018,85151.82926829268,1.232712419629929,22.658238357536302
Capstone Ranch,14221 Ave 14 Madera Madera 93637,3600,400,0,0,0,0,4000,104771.76,1366964.07,956874.85,229900.18,726897.27,1791936.0,167544474.0,667318.81,45188.7,560276.45,5112510.19,85.0,0.0,0.0,0.0,0.0,667318.81,45188.7,560276.45,5112510.19,1.28,0.45,0.85,3.21,0.0,0.0,0.0,0.0,667318.81,45188.7,560276.45,5112510.19,956874.8500000001,229900.18,726897.27,1791936.0,38.55532,37.43721572,54658334.9512,634224527.32434,11.603436655920596,1353651.1391999999,0.9902609504579003,1460000.0,1.0680602599891305,26.19294
Cedar Avenue Feedlot,21622 Cedar Avenue Laton Fresno 93242,0,0,0,1200,0,0,1200,11788.08,114192.0,79934.4,19324.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31974.0,11740.0,62156.0,1079120.0,0.0,0.0,0.0,0.0,0.44,1.1,0.84,3.71,43050.0,14172.0,83493.6,1157704.8,31974.0,11740.0,62156.0,1079120.0,4910.399999999994,-6587.200000000001,-145648.6,-2236824.8,0.453592,0.440437832,0.0,0.0,,152301.9936,1.3337361076082386,160243.90243902442,1.40328483991019,26.850626666666663
Coderview Holsteins,40396 W Valeria Dos Palos Fresno 93620,0,0,0,25,0,0,25,237.35,2379.0,1665.3,402.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3040.0,1420.0,2740.0,76086.8,0.0,0.0,0.0,0.0,0.76,0.44,0.66,0.6,0.0,0.0,0.0,0.0,3040.0,1420.0,2740.0,76086.8,-1374.7,-1017.4,-2739.0,-76086.8,0.453592,0.440437832,0.0,0.0,,3066.562,1.2890130306851617,3338.414634146342,1.40328483991019,25.95026666666666
"Coelho Farms Dairy, Inc.",21656 S Cornelia AVE Riverdale Fresno 93656,1,0,0,0,0,0,1,17.55,230.13,161.09,37.41,146.58,472.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,1.67,2.5,23.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.09,37.41,146.58,472.14,0.453592,0.440437832,160.75980868,0.0,,226.746,0.9852952678920611,365.0,1.586060053013514,17.55
Costa View Dairy North,9499 Avenue 20 Chowchilla Madera 93610,0,150,1015,135,0,0,1300,13731.93,136884.0,95818.8,22143.0,1.0,34587.0,0.0,0.0,0.0,0.0,0.0,1.0,77450.46,17327.9,50670.98,1357352.07,0.0,0.0,0.0,0.0,1.46,2.32,0.7,8.11,86370.22,27274.81,104553.42,5674674.92,77450.46,17327.9,50670.98,1357352.07,-68001.88,-22459.710000000003,-155223.4,-6997439.99,0.453592,0.440437832,24113.971301999998,0.0,,177416.5356,1.2961086438152012,208317.07317073172,1.5218511525870935,24.06021923076923
Costa View Farms,16800 Road 15 Madera Madera 93637,5990,775,1560,1940,350,0,10615,200425.77,2507249.71,1755074.8,417384.09,1150283.12,3006818.1,164040000.0,462701.23,51199.93,850453.97,3503262.71,70.0,646475.34,222433.35,676263.63,0.0,462701.23,51199.93,850453.97,3503262.71,0.88,1.12,0.92,1.73,220699.35,43518.18,74602.6,9729422.21,1109176.5699999998,273633.28,1526717.6,3503262.71,887900.1100000005,151432.56,399416.89,-6722604.11,31.75144,30.83064824,76127807.40041399,620958656.4,8.156791553629104,2589500.9483999996,1.0328053636109502,2952182.317073171,1.1774584339559744,24.521303343628304
Double DJ Dairy,14768 Avenue 27 Chowchilla Madera 93610,2790,345,500,0,0,0,3635,84467.86,1083332.05,758332.44,181544.71,550479.02,1396820.7,119034000.0,315803.83,64724.22,431130.46,2059556.35,78.0,180409.8,31696.97,163031.27,0.0,315803.83,64724.22,431130.46,2059556.35,0.93,0.92,0.84,1.23,0.0,0.0,0.0,0.0,496213.63,96421.19,594161.73,2059556.35,577922.64,149847.74,387447.75,1396820.6999999997,35.380176,34.354150896,39310596.0165204,450592493.94,11.462367392003852,1091324.7512,1.0073778867707275,1211043.2926829269,1.117887440589362,25.45802374388944
Dry River Dairy,12718 Avenue 25 Chowchilla Madera 93610,970,90,355,290,105,130,1940,35040.67,438487.14,306941.0,72754.46,195858.43,478728.0,10812000.0,40797.07,8000.73,54125.17,311058.87,85.0,60609.6,18111.6,85815.6,0.0,40797.07,8000.73,54125.17,311058.87,1.11,1.26,1.13,0.0,0.0,0.0,0.0,0.0,101406.67,26112.329999999998,139940.77000000002,311058.87,246331.40000000002,54642.86,110042.82999999996,478728.0,38.55532,37.43721572,14484458.762068,40927852.92,2.825639093065883,452725.45639999997,1.0324714572016866,483491.46341463417,1.1026354465370047,25.355938404518177
"El Dorado Ranches, Inc.",23025 W. American RD San Joaquin Fresno 93660,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,0.453592,0.440437832,0.0,0.0,,,,,,
Fagundes Dairy (TF Farms),23732 Road 12 Chowchilla Madera 93610,1996,92,0,568,315,955,3926,60208.64,776502.65,543551.86,123963.14,370150.04,963604.8,59850000.0,157599.09,29034.01,308588.25,1473923.52,60.0,248997.36,79025.12,247584.28,4876046.0,157599.09,29034.01,308588.25,1473923.52,1.05,1.01,0.87,4.01,0.0,0.0,0.0,0.0,406596.44999999995,108059.12999999999,556172.53,6349969.52,294554.5,44938.020000000004,122565.76000000001,-3912441.1999999993,27.215519999999998,26.426269919999996,20139988.831430398,226556788.5,11.249101992868846,777895.6288,1.001793913774795,894499.2682926831,1.1519590670974311,21.811255190938166
Frank S. Brown Co.,22045 S Valentine AVE Riverdale Fresno 93656,700,400,480,300,70,0,1950,31025.67,371075.22,259752.65,59746.2,129812.14,422730.0,46282000.0,121802.7,23287.17,174259.21,1019203.85,60.0,45962.8,17407.29,40248.79,275159.04,121802.7,23287.17,174259.21,1019203.85,0.58,0.73,0.58,2.43,82225.2,57275.01,96768.5,1229616.96,167765.5,40694.46,214508.0,1294362.89,131564.64999999997,-14936.100000000006,-7205.150000000023,-1082045.9999999998,27.215519999999998,26.426269919999996,10610147.372879999,175196345.62,16.512150063797375,400851.6564,1.0802436670387205,508774.39024390245,1.3710815565747088,21.988806741573033
"FREA DAIRY, LLC",6205 S. Brawley Avenue Fresno Fresno 93706,278,25,155,100,0,0,558,10232.09,126609.39,88626.57,21324.41,55216.89,137019.42,5685900.0,8919.81,1961.82,14442.83,87442.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154474.26,49121.49,192724.53,533676.09,0.0,0.0,0.0,0.0,-56927.880000000005,-25835.26,-123064.81,-309214.36999999994,36.28736,35.23502656,3896817.7624032004,21523462.719,5.523343412838043,132198.6028,1.0441453260299256,144646.8292682927,1.1424652568683311,25.819527941900542
"Fred Rau Dairy, Inc.",10255 W Manning AVE Fresno Fresno 93706,1254,180,398,501,211,147,2691,45243.58,562410.61,393687.43,92226.78,242462.79,633567.96,6535860.0,32478.43,4154.04,37743.62,191383.47,72.0,0.0,0.0,0.0,0.0,32478.43,4154.04,37743.62,191383.47,0.32,0.09,0.09,2.29,0.0,0.0,0.0,0.0,32478.43,4154.04,37743.62,191383.47,393687.43,92226.78,242462.79000000004,633567.96,32.658624,31.711523904000003,16598128.726592643,24740909.8026,1.4905842827307048,584547.0536,1.0393599324166378,659394.756097561,1.1724436637096178,23.889384022975182
G & A Dairy #2,6043 S Madera Kerman Fresno 93630,1437,138,112,0,0,0,1687,41859.4,541284.11,378898.88,91015.99,285419.68,710285.22,20287565.0,118746.39,6210.57,97694.86,1165605.23,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249026.76,12756.68,201020.67,1165605.23,0.0,0.0,0.0,0.0,248618.51,84469.88,182093.86999999997,710285.22,36.28736,35.23502656,20255735.893680003,76796751.42665,3.791358251793329,540823.448,0.9991489460128434,589831.0975609756,1.0896885511029977,25.90348501999849
Gerrit Visser & Sons,18565 S Marks AVE Riverdale Fresno 93656,955,130,400,330,95,1,1911,34060.64,421126.41,294788.49,69964.12,184146.18,479555.25,6682500.0,41396.92,7662.69,33901.19,191617.89,72.0,0.0,0.0,0.0,0.0,41396.92,7662.69,33901.19,191617.89,1.03,0.66,0.54,0.78,161521.66,48781.71,248244.7,0.0,41396.92,7662.69,33901.19,191617.89,133266.83,21182.409999999996,-64098.52000000002,479555.25,32.658624,31.711523904000003,12558556.2540816,25296002.325,2.014244457182621,440063.4688,1.0449676352523225,497779.8780487805,1.182020092372693,24.553604219780222
Golden Star Dairy,4109 E Conejo AVE Selma Fresno 93662,625,48,100,100,100,0,973,18684.61,237356.85,166149.8,39265.05,117550.69,306155.34,16275000.0,51499.39,3805.14,28432.96,150589.7,64.0,0.0,0.0,0.0,0.0,51499.39,3805.14,28432.96,150589.7,1.24,0.61,0.72,1.52,66640.0,15680.0,106400.0,1106268.8,51499.39,3805.14,28432.96,150589.7,99509.79999999999,23585.050000000003,11150.690000000002,-800113.46,29.029888,28.188021248,6924246.479464959,61607547.75,8.89736492378019,241405.1612,1.0170558010017405,276803.5365853659,1.1661914816672276,23.870283550930107
Grain Mill Group East,4604 W Harlan AVE Riverdale Fresno 93656,0,0,0,100,0,0,100,883.52,9516.0,6661.2,1610.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6661.2,1610.4,1.0,0.0,0.453592,0.440437832,0.0,0.0,,11415.0784,1.199566876839008,13353.658536585368,1.40328483991019,24.149546666666662
Grain Mill Group West,5336 W Harlan AVE Riverdale Fresno 93656,0,0,125,110,0,0,235,2446.85,22362.6,15653.82,3784.44,1.0,0.0,4905000.0,14391.77,3290.95,45434.77,225127.24,1.0,0.0,0.0,0.0,0.0,14391.77,3290.95,45434.77,225127.24,1.16,0.18,0.74,1.09,0.0,0.0,0.0,0.0,14391.77,3290.95,45434.77,225127.24,15653.82,3784.4399999999996,1.0,0.0,0.453592,0.440437832,0.0,18567436.05,,31613.302,1.41366844642394,31381.097560975613,1.40328483991019,28.459815602836876
HANSEN & SONS INC.,13348 AVENUE 20 CHOWCHILLA Madera 93610,0,0,75,15,0,0,90,708.7,8564.4,5995.08,1449.36,1.0,0.0,16128000.0,18582.78,3036.89,33976.3,413954.73,1.0,40920.88,19553.81,60768.73,0.0,18582.78,3036.89,33976.3,413954.73,0.63,1.2,0.76,1.13,0.0,0.0,0.0,0.0,59503.659999999996,22590.7,94745.03,413954.73,-34925.799999999996,-18104.45,-60767.729999999996,0.0,0.453592,0.440437832,0.0,61051092.480000004,,9156.404,1.0691238148615199,12018.29268292683,1.40328483991019,21.523481481481483
Iest Family Farms,14576 Avenue 14 Madera Madera 93637,3550,550,1925,1810,635,615,9085,141717.11,1735832.9,1215083.03,284094.46,691075.34,1802916.0,188257500.0,334512.19,78218.76,502048.99,2681473.44,74.0,403359.19,129788.26,502443.31,0.0,334512.19,78218.76,502048.99,2681473.44,1.11,1.28,0.84,3.0,170053.58,50457.79,218018.83,1575917.85,737871.38,208007.02,1004492.3,2681473.44,641670.26,103848.41000000003,-29386.79999999996,226998.14999999944,33.565808,32.592399568,48774525.953512,712631823.075,14.610738067535994,1830985.0611999999,1.0548164291620465,2050899.3902439026,1.1815073848663098,23.923423612969632
J&D Wilson & Sons Dairy,11720 W Mt. Whitney AVE Riverdale Fresno 93656,2600,150,200,500,500,0,3950,77114.57,986058.22,690240.75,163263.54,495862.4,1262151.0,95960000.0,314897.92,25787.87,201228.55,1026960.4,68.0,91600.0,38600.0,215200.0,4174391.4,314897.92,25787.87,201228.55,1026960.4,1.06,1.02,1.29,1.76,234546.8,106096.6,544572.8,11949684.45,406497.92,64387.869999999995,416428.55,5201351.8,364093.95,18566.940000000002,-263910.4000000001,-14861924.85,30.844256,29.949772576,30062084.223160002,363247943.6,12.083258795481376,996320.2444000001,1.0104071181517051,1119481.7073170731,1.1353099488558325,24.181241835564055
J&F Martins Dairy #2,541 East Wood AVE Laton Kings 93242,430,32,285,195,0,0,942,16654.62,199449.48,139614.64,33592.54,83991.0,210398.76,38171397.0,77384.93,13573.6,81534.87,367249.63,75.0,30839.49,7739.19,20989.61,519463.57,77384.93,13573.6,81534.87,367249.63,1.0,1.03,1.06,1.97,0.0,0.0,0.0,0.0,108224.42,21312.79,102524.48,886713.2,108775.15000000001,25853.35,63001.39,-309064.80999999994,34.0194,33.0328374,5570327.370762,144494387.91777,25.94001721985035,215177.6904,1.078858116852448,232727.56097560975,1.1668496752942636,26.12039706219876
J&D Wilson Dry Cows,430 W Mt. Whitney AVE Riverdale Fresno 93656,0,0,750,500,0,1000,2250,16250.35,170190.0,119133.0,23753.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31351.92,14532.24,77081.36,1594310.0,0.0,0.0,0.0,0.0,0.62,1.38,1.49,6.03,195042.0,78974.0,477166.0,5871739.6,31351.92,14532.24,77081.36,1594310.0,-107260.92,-69752.84,-554246.36,-7466049.6,0.453592,0.440437832,0.0,0.0,,209954.522,1.2336478171455432,211432.92682926834,1.242334607375688,19.741165925925923
Joe Mama's Heifer Ranch (Formerly Avila Family,13644 Avenue 18 1/2 Chowchilla Madera 93610,0,0,647,648,400,0,1695,14005.04,143728.2,100609.74,22304.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100609.74,22304.04,1.0,0.0,0.453592,0.440437832,0.0,0.0,,180945.11680000002,1.2589395595297235,190734.756097561,1.3270517274797917,22.584331956735493
Joe R Garcia Dairy AKA Netto Enterprise,20677 S East AVE Laton Fresno 93242,1020,100,0,0,0,0,1120,27399.34,358186.05,250730.24,59910.5,194530.64,504640.8,13623000.0,3337.1,5784.66,-1469.7,79018.6,68.0,104123.7,46803.3,249806.02,5466278.25,80713.08,13081.51,53568.84,424577.2,0.79,1.11,0.93,4.63,22500.0,13500.0,60900.0,1239759.0,184836.78,59884.810000000005,303374.86,5890855.45,46730.56,-7689.6500000000015,-171213.91999999998,-6546955.05,30.844256,29.949772576,12243467.0290688,51568640.43,4.211931171747693,353999.4728,0.9883117245911727,408800.0,1.1413063127388685,24.463696428571428
John DeGroot & Son L.L.P.,6105 W Lincoln AVE Fresno Fresno 93706,2750,405,835,1178,487,0,5655,100166.71,1232373.37,862661.36,203644.05,535340.05,1391769.9,47196000.0,203889.75,13670.1,246776.4,1923893.69,74.0,231944.77,91344.7,175129.34,8220419.24,203889.75,13670.1,246776.4,1923893.69,0.9,1.06,0.63,5.24,0.0,0.0,0.0,0.0,435834.52,105014.8,421905.74,10144312.93,630716.5899999999,112299.34999999999,360210.7100000001,-6828649.34,33.565808,32.592399568,37532592.5325196,178656210.36,4.760028506029947,1294153.8932,1.0501313357655562,1442061.5853658537,1.1701499078691173,24.613197746546405
Kerman Cattle Co,4301 S Dickenson Fresno Fresno 93706,750,75,50,50,50,0,975,21533.96,278027.21,194619.05,46303.31,144025.43,371398.5,50550000.0,191546.78,21339.83,118583.19,750707.94,70.0,0.0,0.0,0.0,0.0,191546.78,21339.83,118583.19,750707.94,1.19,0.77,0.61,0.85,61600.0,11880.0,79200.0,911812.0,191546.78,21339.83,118583.19,750707.94,133019.04999999996,34423.31,64825.42999999999,-540413.5,31.75144,30.83064824,9283878.951270001,191352475.5,20.611263514355027,278218.7632,1.0006889728526929,316704.26829268294,1.1391124929559338,24.47380069300069
LaSalle Dairy,10663 7 1/2 AVE Firebaugh Madera 93622,680,85,300,200,90,0,1355,26218.76,323633.46,226543.42,54148.06,142230.64,340654.5,8700000.0,17451.9,2764.36,38383.66,213773.87,96.0,34933.54,10622.23,30725.23,125158.5,17451.9,2764.36,38383.66,213773.87,1.32,0.67,0.94,1.14,136505.95,65881.25,152317.45,0.0,52385.44,13386.59,69108.89,338932.37,55103.92999999999,-22355.42,-40812.03999999999,215496.0,43.544832,42.282031872,11806200.3494592,32933067.0,2.7894721438899306,338746.37919999997,1.0466976412142304,349999.39024390245,1.0814684929175815,26.730552281487004
Leonardo Bros Dairy,16508 S Clovis AVE Selma Kings 93662,0,0,0,100,0,0,100,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,0.453592,0.440437832,0.0,0.0,,12.92,12.92,13353.658536585368,13353.658536585368,0.027333333333333328
McREE DAIRY EAST,11812 Avenue 18 Chowchilla Madera 93610,0,200,0,0,0,0,200,2930.11,36600.0,25620.0,4831.2,1.0,46116.0,14760000.0,5316.23,366.51,2507.31,76787.35,1.0,61803.66,53698.34,78023.57,0.0,5316.23,366.51,2507.31,76787.35,0.85,3.31,0.54,0.71,0.0,0.0,0.0,0.0,67119.89,54064.85,80530.88,76787.35,-36183.66,-48867.14,-78022.57,46116.0,0.453592,0.440437832,32151.961736,55872651.6,1737.7680422355177,37857.0212,1.0343448415300547,73000.0,1.994535519125683,14.65055
"Medeiros Dairy, Inc.",608 E Riverdale AVE Laton Fresno 93242,1025,100,500,500,500,0,2625,39660.78,483786.42,338650.49,78688.02,196834.76,507001.5,27628000.0,95207.31,9407.57,46874.46,320225.03,70.0,64596.0,30664.0,160988.0,4492292.0,95207.31,9407.57,46874.46,320225.03,0.94,1.44,1.17,5.38,0.0,0.0,0.0,0.0,159803.31,40071.57,207862.46,4812517.03,274054.49,48024.02,35846.76000000001,-3985290.5,31.75144,30.83064824,12659834.933549998,104583307.48,8.26103247229886,512417.2776,1.0591807798160189,566417.6829268293,1.1708011211369458,23.6953293989071
