Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,File Name,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted For N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted For P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted For K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,Estimated Annual Milk Production (L),Estimated Total Wastewater Generated (L),Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,USDA N Estimate (lbs),UCCE N Estimate (lbs),Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Wastewater to Reported Milk Ratio,Wastewater to Estimated Milk Ratio,Year,Region,Template,Consultant,Latitude,Longitude,Street Address,City,County,Zip,CADDID,PlaceID,FacilityName
Generations Dairy,This owner is responsible for paying permit fees.,1437.0,138.0,225.0,0.0,0.0,0.0,,42926.28,80.0,385370.22,550528.89,92582.09,284639.85,708344.55,19895121.0,100056.5,8077.94,62610.44,925521.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fresno_madera_2023_generic_r5.csv,36.28736,37.3759808,21486516.9624,1800.0,0.0,485426.72,0.0,0.0,100660.03,0.0,0.0,347250.29,0.0,0.0,1633866.32,0.0,75311189.98461,3.505044122153426,21486516.9624,22131112.471272003,3.505044122153426,0.0,0.0,0.0,0.0,503194.6097560976,0.0,0.0,-23.415272634420308,,,,,2023,R5,generic_r5,Self-completed (R5),36.6459,-120.0658,6043 South Madera Avenue,Kerman,Fresno,936300,10432.0,233668.0,Generations Dairy
Triangle M Dairy,11302 Avenue 18 1/2 Chowchilla Madera 93610,1655.0,179.0,104.0,547.0,350.0,0.0,,54201.53,78.0,481391.9,687702.72,113734.81,325646.45,820417.8,64360000.0,198461.46,38508.5,262385.83,1251245.96,196274.49,45992.81,209768.95,2173489.14,198461.46,198461.46,38508.5,262385.83,1251245.96,0.87,0.7,0.63,2.26,Fresno_madera_2023_generic_r5.csv,35.380176,36.44158128,24394358.9246448,2835.0,394735.95,679853.36,0.0,84501.31,152243.31,0.0,472154.78,588032.28,0.0,3424735.1,2071663.76,0.0,243628987.6,9.987103508338963,24394358.9246448,25126189.692384142,9.987103508338963,0.0,0.0,0.0,0.0,642111.8678048782,0.0,0.0,-25.02990146472685,,,,,2023,R5,generic_r5,Self-completed (R5),37.0177,-120.3444,11302 Avenue 18 1/2,Chowchilla,Madera,936100,10615.0,240136.0,Triangle M Dairy
AJF Dairy,23435 12 RD ChowchiIla Madera 93610,780.0,90.0,232.0,0.0,0.0,120.0,,24164.44,0.0,0.0,306170.28,50614.35,149377.2,0.0,0.0,101980.64,10452.31,172716.77,0.0,67073.98,23962.76,121838.0,353928.6,101980.64,101980.64,10452.31,172716.77,818584.76,0.0,0.0,0.0,0.0,Fresno_madera_2023_generic_r5.csv,0.0,0.0,0.0,1222.0,169054.62,101980.64,0.0,34415.07,61066.66,0.0,294554.77,322093.97,0.0,1172513.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294363.29268292687,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),37.0904,-120.328,23435 Road 12,Chowchilla,Madera,936100,10017.0,204810.0,AJF Dairy
Mt. Whitney Dairy,2792 W Mt. Whitney AVE RiverdaIe Fresno 93656,1725.0,275.0,750.0,600.0,250.0,0.0,,65975.34,0.0,0.0,814606.21,135424.79,349619.94,0.0,0.0,104428.4,0.0,117425.4,0.0,7557.55,2574.55,9799.9,0.0,104428.4,104428.4,33509.8,117425.4,902855.36,0.0,0.0,0.0,0.0,Fresno_madera_2023_generic_r5.csv,0.0,0.0,0.0,3600.0,111985.95,104428.4,0.0,36084.350000000006,135424.79,0.0,127225.3,467045.34,0.0,902855.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766455.3658536586,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.4316,-119.8485,2792 West Mt. Whitney Avenue,Riverdale,Fresno,936560,10648.0,241816.0,Mt. Whitney Dairy
River Oaks Dairy,3621 E. Mount Whitney Laton CA 93242,1657.0,190.0,0.0,0.0,0.0,0.0,,44825.32,,0.0,633431.95,107671.35,161990.65,1141211.19,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Fresno_madera_2023_innovative_ag.csv,0.0,0.0,0.0,1847.0,0.0,0.0,0.0,0.0,107671.35,0.0,0.0,161990.65,0.0,0.0,1141211.19,0.0,0.0,0.0,21417623.6857904,22060152.396364115,0.0,0.0,0.0,0.0,0.0,560786.14,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.4285,-119.7336,3621 East Mount Whitney Avenue,Laton,Fresno,932420,10044.0,206290.0,River Oaks Dairy
Sweet Haven Dairy,10467 W. Kamm Avenue Riverdale CA 93656,1615.0,248.0,0.0,978.0,0.0,317.0,,65627.27,,0.0,862651.95,145343.0,289631.15,1505056.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Fresno_madera_2023_innovative_ag.csv,0.0,0.0,0.0,3158.0,0.0,0.0,0.0,0.0,145343.0,0.0,0.0,289631.15,0.0,0.0,1505056.8,0.0,0.0,0.0,21603158.054481603,22251252.79611605,0.0,0.0,0.0,0.0,0.0,686018.2819512195,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.5318,-119.973,10101 West Kamm Avenue,Riverdale,Fresno,936560,10821.0,259784.0,Sweet Haven Dairy
Zonneveld Dairies Complex,1523 E. Cerini Avenue Laton CA 93242,2192.0,819.0,0.0,5741.0,0.0,792.0,,219082.54,,0.0,2973359.35,521503.24,1064518.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Fresno_madera_2023_innovative_ag.csv,0.0,0.0,0.0,9544.0,0.0,0.0,0.0,0.0,521503.24,0.0,0.0,1064518.85,0.0,0.0,0.0,0.0,0.0,0.0,34915249.0080752,35962706.478317454,0.0,0.0,0.0,0.0,0.0,1581238.1492682928,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.4599,-119.7705,1560 Cerini Avenue,Laton,Fresno,932420,10300.0,225300.0,Zonneveld Dairies Complex
Open Sky Ranch Dairy,12103 Elkhorn Avenue Riverdale CA 93656,4411.0,760.0,0.0,1521.0,0.0,0.0,,158504.68,,0.0,2148751.35,365330.69,679947.55,3727324.81,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Fresno_madera_2023_innovative_ag.csv,0.0,0.0,0.0,6692.0,0.0,0.0,0.0,0.0,365330.69,0.0,0.0,679947.55,0.0,0.0,3727324.81,0.0,0.0,0.0,59962388.7813872,61761260.44482882,0.0,0.0,0.0,0.0,0.0,1738972.4419512197,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.4826,-120.022,12103 West Elkhorn Avenue,Riverdale,Fresno,936560,10909.0,270595.0,Open Sky Ranch Dairy
Maple Dairy,19860 S. Maple Avenue Laton CA 93242,2294.0,392.0,0.0,1408.0,0.0,0.0,,85475.99,,0.0,1186563.9,206648.4,384304.85,2035463.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Fresno_madera_2023_innovative_ag.csv,0.0,0.0,0.0,4094.0,0.0,0.0,0.0,0.0,206648.4,0.0,0.0,384304.85,0.0,0.0,2035463.8,0.0,0.0,0.0,31146582.1440352,32080979.60835626,0.0,0.0,0.0,0.0,0.0,971924.6468292684,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,35.2063,-119.1785,15857 Bear Mountain Boulevard,Bakersfield,Kern,933110,10591.0,239411.0,Maple Dairy
Fontes Dairy Farms - Dairy 1,5512 W Davis Avenue Riverdale CA 93656,585.0,78.0,0.0,463.0,0.0,0.0,,24787.06,,0.0,330073.15,55615.05,112117.05,573548.19,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Fresno_madera_2023_innovative_ag.csv,0.0,0.0,0.0,1126.0,0.0,0.0,0.0,0.0,55615.05,0.0,0.0,112117.05,0.0,0.0,573548.19,0.0,0.0,0.0,7688080.402641601,7918722.8147208495,0.0,0.0,0.0,0.0,0.0,252730.3258536585,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.4746,-119.8939,5512 West Davis Avenue,Riverdale,Fresno,936560,10075.0,209221.0,Fontes Dairy Farms - Dairy 1
Maple Dairy,15857 Bear Mountain Blvd Bakersfield Kern 93311,6194.0,1108.0,2459.0,2336.0,948.0,1187.0,,232293.54,78.0,2043813.73,2919733.9,477077.0,1218763.81,3171229.5,68740284.96,173372.31,358365219.59,266453.44,1645036.9,418784.43,117620.04,475915.45,0.0,173372.31,173372.31,358365219.59,266453.44,0.0,0.82,2482.9,1.34,0.0,Kern_2023_generic_r5.csv,35.380176,36.44158128,97125195.6748944,14232.0,592156.74,2217186.04,0.0,358482839.63,358842296.59,0.0,742368.89,1485217.25,0.0,0.0,4816266.4,0.0,260210162.0904336,2.679121110462736,97125195.6748944,100038951.54514123,2.679121110462736,0.0,0.0,0.0,0.0,2828716.459512195,0.0,0.0,-27.747663675261023,,,,,2023,R5,generic_r5,Self-completed (R5),35.2063,-119.1785,15857 Bear Mountain Boulevard,Bakersfield,Kern,933110,10591.0,239411.0,Maple Dairy
Bear Mountain Dairy,4551 Bear Mountain Blvd Bakersfield Kern 93313,2548.0,623.0,898.0,988.0,392.0,374.0,,94561.99,70.0,830459.0,1186369.99,192735.09,487965.51,1342984.65,21752778.98,0.0,0.0,0.0,0.0,137618.36,45517.36,142111.89,2833.3,59700.73,59700.73,114531007.5,144444.05,349.53,1.11,3179.12,603.67,0.0,Kern_2023_generic_r5.csv,31.75144,32.7039832,37852080.715428,5823.0,197319.09,830459.0,0.0,114576524.86,192735.09,0.0,286555.94,487965.51,0.0,3182.83,1342984.65,0.0,82343187.07868181,2.175393941953628,37852080.715428,38987643.13689084,2.175393941953628,0.0,0.0,0.0,0.0,1200639.371219512,0.0,0.0,-30.83193672413998,,,,,2023,R5,generic_r5,Self-completed (R5),35.2063,-119.0545,4551 Bear Mountain Boulevard,Bakersfield,Kern,933130,10073.0,209021.0,Bear Mountain Dairy
Carlos Echeverria & Sons Dairy,20229 Old River RD Bakersfield Kern 93311,5025.0,760.0,1625.0,1360.0,600.0,775.0,,177824.27,75.0,0.0,0.0,0.0,0.0,0.0,124525685.0,0.0,0.0,511606.64,3180491.19,549564.16,227864.32,861624.64,450264.0,247979.69,247979.69,48201.64,511606.64,3180491.19,1.18,2.18,2.66,7.61,Kern_2023_generic_r5.csv,34.0194,35.039981999999995,73987797.99254999,10145.0,797543.8500000001,0.0,0.0,276065.96,0.0,0.0,1373231.28,511606.64,0.0,3630755.19,3180491.19,0.0,471380773.25585,6.371060986344188,73987797.99254999,76207431.93232648,6.371060986344188,0.0,0.0,0.0,0.0,2138928.8463414637,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),35.1746,-119.1155,20229 Old River Road,Bakersfield,Kern,933110,11022.0,657463.0,Carlos Echeverria & Sons Dairy
Newhouse Dairy,16130 Bear Mountain Blvd Bakersfield Kern 93311,2967.0,641.0,926.0,1193.0,356.0,0.0,,106115.57,70.0,931937.97,1331339.96,219219.07,568207.88,1544409.9,90005630.22,287318.95,620041584.06,405237.47,3003844.67,117538.91,34054.0,71812.54,0.0,287318.95,287318.95,620041584.06,405237.47,4249.95,1.26,8637.08,194.95,0.0,Kern_2023_generic_r5.csv,31.75144,32.7039832,43068529.55574399,6083.0,404857.86,1219256.92,0.0,620075638.06,620260803.13,0.0,477050.01,973445.35,0.0,4249.95,4548254.57,0.0,340708212.6910902,7.910839218462485,43068529.55574399,44360585.44241631,7.910839218462485,0.0,0.0,0.0,0.0,1344022.0648780486,0.0,0.0,-30.66051560064526,,,,,2023,R5,generic_r5,Self-completed (R5),35.2108,-119.1825,16130 Bear Mountain Boulevard,Bakersfield,Kern,933130,10981.0,655940.0,Newhouse Dairy
Ansonea Dairy,5250 DiGiorgio Rd. Bakersfield,1528.0,332.0,389.0,394.0,376.0,0.0,,53211.53,70.0,466599.76,666571.09,108688.07,292626.1,795802.2,5835673.42,25559.52,26674263.7,48052.05,367978.7,55571.91,14938.84,108272.32,3500.2,25559.52,25559.52,26674263.7,48052.05,472.23,0.52,1226.35,266.55,0.0,Kern_2023_generic_r5.csv,31.75144,32.7039832,22202734.19448,3019.0,81131.43000000001,492159.28,0.0,26689202.54,26782951.77,0.0,156324.37,340678.15,0.0,3972.43,1163780.9,0.0,22090416.5208022,0.994941268372896,22202734.19448,22868816.2203144,0.994941268372896,0.0,0.0,0.0,0.0,665631.3097560975,0.0,0.0,-29.901170037963983,,,,,2023,R5,generic_r5,Self-completed (R5),35.2525,-118.9456,5250 Di Giorgio Road,Bakersfield,Kern,933070,10040.0,205857.0,Ansonea Dairy
AJB Ranch Dairy,2874 Stockdale Hwy. Bakersfield Kern 93312,3995.0,534.0,983.0,788.0,772.0,0.0,,133754.59,78.0,1185699.86,1693856.94,279940.74,786077.08,2003839.05,55324631.18,73160.56,211342999.89,128724.27,860343.0,81421.1,49668.71,140816.68,2186.88,73160.56,73160.56,211342999.89,128724.27,1013.89,0.04,3656.17,0.62,0.0,Kern_2023_generic_r5.csv,35.380176,36.44158128,60241031.390248805,7072.0,154581.66,1258860.4200000002,0.0,211392668.6,211622940.63,0.0,269540.95,914801.35,0.0,3200.77,2864182.05,0.0,209426412.1150838,3.47647454371081,60241031.390248805,62048262.33195627,3.47647454371081,0.0,0.0,0.0,0.0,1600403.236097561,0.0,0.0,-25.912430489004613,,,,,2023,R5,generic_r5,Self-completed (R5),35.3583,-119.3208,28128 Stockdale Hwy,Bakersfield,Kern,933140,10016.0,204805.0,AJB Ranch Dairy
Lakeview Dairy,17702 Bear Mountain BLVD Bakersfield Kern 93311,3685.0,548.0,710.0,1302.0,1403.0,1400.0,,132215.04,70.0,1169040.44,1670057.77,264869.0,705711.5,0.0,58548934.42,222629.01,203428924.62,167765.43,1614987.7,14316.08,4600.07,17439.33,0.0,222629.01,222629.01,203428924.62,167765.43,244.57,1.05,75.86,242.19,52.21,Kern_2023_generic_r5.csv,31.75144,32.7039832,50529125.723244,9048.0,236945.09,1391669.45,0.0,203433524.69,203693793.62,0.0,185204.76,873476.9299999999,0.0,244.57,1614987.7,0.0,221631721.8428122,4.386217229578128,50529125.723244,52044999.49494132,4.386217229578128,0.0,0.0,0.0,0.0,1612503.6039024391,0.0,0.0,-27.5015300945194,,,,,2023,R5,generic_r5,Self-completed (R5),33.8418,-117.0904,32920 Ramona Expressway,Nuevo,Riverside,925670,10680.0,245823.0,Lakeview Dairy
Rosa Dairy,4714 E Bear Mountain Blvd Bakersfield Kern 93307,0.0,76.0,145.0,206.0,0.0,0.0,,4244.87,70.0,33025.93,47179.9,7467.9,0.0,17476.2,0.0,0.0,0.0,0.0,0.0,22371.97,9665.5,28282.83,2256.8,0.0,0.0,0.0,0.0,0.0,1.39,1.4,0.57,0.0,Kern_2023_generic_r5.csv,31.75144,32.7039832,907208.493968,427.0,22371.97,33025.93,0.0,9665.5,7467.9,0.0,28282.83,0.0,0.0,2256.8,17476.2,0.0,0.0,0.0,907208.493968,934424.74878704,0.0,0.0,0.0,0.0,0.0,62064.371219512206,0.0,0.0,-46.78761848212024,,,,,2023,R5,generic_r5,Self-completed (R5),35.2111,-118.9517,4714 East Bear Mountain Boulevard,Bakersfield,Kern,933070,10586.0,239377.0,Rosa Dairy
