Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),filename,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Applied Process Wastewater (gals),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content,Estimated Total Manure (tons),USDA Nitrogen Estimate (lbs),UCCE Nitrogen Estimate (lbs),Wastewater to Milk Ratio,dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,max_milk_cows,max_dry_cows,max_bred_heifers,max_heifers,max_calves_4_6_mo,max_calves_0_3_mo,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,applied_ww_gals,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,operator_name,hauling_company,destination_address,manure_amount,manure_solids_content,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,estimated_milk_lb_per_cow_day,estimated_milk_kg_per_cow,estimated_milk_l_per_cow,estimated_annual_milk_production_l,milk_production_discrepancy_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,ww_to_reported_milk,ww_to_estimated_milk,wastewater_ratio_discrepancy,calculated_manure_factor,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,manure_factor_discrepancy,Year,Region,Template,Consultant,Total Herd Size,Latitude,Longitude,Street Address,City,County,Zip
MESQUITE CATTLE FEEDERS INC,1504 E. HWY 78 Srawiey CA 92227 (Feedyard Location),0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,MESQUITE CATTLE FEEDERS INC,1504 E. HWY 78 Srawiey CA 92227 (Feedyard Location),0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,32.978234981642,-115.401937978064,1504 E. HWY 78 Srawiey CA 92227,(Feedyard,,tion)
Butterspur 7A137777028,352 E. Shank Rd. Brawley CA 92227,0,0,0,0,0,0,7049.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,Butterspur 7A137777028,352 E. Shank Rd. Brawley CA 92227,0,0,0,0,0,0,7049.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7049.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,33.00112662094,-115.504808407026,352 E. Shank Rd. Brawley,CA,,92227
__ OWB Ranches LLC,1870 Jeffrey Road El Centro CA 92243,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,__ OWB Ranches LLC,1870 Jeffrey Road El Centro CA 92243,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,32.787626983033,-115.760534990467,1870 Jeffrey Road El Centro,CA,,92243
fan now - tAIBTTTT OL,- WY 9 . Rothe Sord KA. A awley CA 922TH,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,fan now - tAIBTTTT OL,- WY 9 . Rothe Sord KA. A awley CA 922TH,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,22.284676575595,-102.252221074131,- WY 9 . Rothe Sord KA. A awley,CA,,922TH
KERSHAW YARD 7A137777020,5455 KERSHAW RD. BRAWLEY CA 92227,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,KERSHAW YARD 7A137777020,5455 KERSHAW RD. BRAWLEY CA 92227,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,33.049408332369,-115.512582404497,5455 KERSHAW RD. BRAWLEY,CA,,92227
HANNON YARD 7A137777022,649 E. RUTHERFORD RD BRAWLEY CA 92227,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,HANNON YARD 7A137777022,649 E. RUTHERFORD RD BRAWLEY CA 92227,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,33.048827998829,-115.488581040636,649 E. RUTHERFORD RD BRAWLEY,CA,,92227
University of California,1004 Holton Rd. Holtville CA 92250,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,University of California,1004 Holton Rd. Holtville CA 92250,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,32.812323003454,-115.443897030989,1004 Holton Rd. Holtville,CA,,92250
Carneiro rer jn.,indicated above,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,Carneiro rer jn.,indicated above,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,21.147898,79.093151,,,,
MAIN YARD 7A137777021,. 6050 US HIGHWAY 111 CALIPATRIA CA 92233,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,MAIN YARD 7A137777021,. 6050 US HIGHWAY 111 CALIPATRIA CA 92233,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,33.093046980488,-115.512320015352,. 6050 US HIGHWAY 111 CALIPATRIA,CA,,92233
Fairline 7A137777019,612 Simpson Rd. Calipatria CA 92233,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,Fairline 7A137777019,612 Simpson Rd. Calipatria CA 92233,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,33.191158733274,-115.488106171728,612 Simpson Rd. Calipatria,CA,,92233
Schaffner Dairy Inc.,2805 Casey Road,0,0,0,0,0,0,1087.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,Schaffner Dairy Inc.,2805 Casey Road,0,0,0,0,0,0,1087.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1087.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,32.858249001605,-115.427777038621,2805 ,Casey,,
Camciro Heifer Ranch,195 W Cary Rd Brawley CA 92227,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All_r7_2024_generic_r7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,Camciro Heifer Ranch,195 W Cary Rd Brawley CA 92227,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2024,R7,generic_r7,Self-completed,0,32.9830641,-115.5212349,195 W Cary Rd Brawley,CA,,92227
