Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content,Estimated Total Manure (tons),USDA Nitrogen Estimate (lbs),UCCE Nitrogen Estimate (lbs),Wastewater to Milk Ratio
Carlos Echeverria & Sons Dairy,20229 Old River RD Bakersfield Kern 93311,5025.0,0,0,0,0,0,,177824.27,75.0,0.0,0.0,0.0,0.0,0.0,124525685.0,0.0,0.0,511606.64,3180491.19,549564.16,0,0,0,247979.69,247979.69,0,0,0,1.18,0,0,0,2023AR_Carlos Echeverria & Sons Dairy_20229 Old River Rd_Kern.pdf,,,,,,,,,,,,,,,,20602.5,266184.3,1834125.0,1.9957372304949244
,Westwind Farms,1098.0,0,0,0,0,0,,31568.81,70.0,285683.96,408119.95,67866.7,210277.13,558384.3,9347600.58,9399.4,21104814.05,9223.2,78181.56,96950.12,0,0,0,9399.4,9399.4,0,0,0,1.24,0,0,0,2023AR_Westwind Farms_6221 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,4501.799999999999,58163.25599999999,400770.0,0.734584086661464
Newhouse Dairy,16130 Bear Mountain Blvd Bakersfield Kern 93311,2967.0,0,0,0,0,0,,106115.57,70.0,931937.97,1331339.96,219219.07,568207.88,1544409.9,90005630.22,287318.95,620041584.06,405237.47,3003844.67,117538.91,0,0,0,287318.95,287318.95,0,0,0,1.26,0,0,0,2023AR_Newhouse Dairy_16130 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,12164.699999999999,157167.924,1082955.0,2.617555146230756
Panama Ranch,6219 E. Panama Lane Buttonwillow Kern 93307,0.0,0,0,0,0,0,,1534.11,70.0,13413.75,19162.5,2529.45,0.0,24144.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Panama Ranch_6219 E Panama Lane_Kern.pdf,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Bear 5 Feedlot,12841 Bear Mountain BLVD Bakersfield Kern 93311,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5048.73,183.59,3563.32,26328.48,0.0,0,0,0,5048.73,5048.73,0,0,0,0.19,0,0,0,2023AR_Bear 5 Feedlot_12841 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
,17661 Bear Mountain Blvd,4126.0,0,0,0,0,0,,116587.93,78.0,1064014.17,1520020.25,254876.6,811853.33,2050573.65,10082983.65,55895.77,34118787.39,56494.54,542211.55,13996.83,0,0,0,55895.77,55895.77,0,0,0,1.03,0,0,0,2023ARTrilogy Dairy_17661 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,16916.6,218562.47199999998,1505990.0,0.18923740583205903
Ansonea Dairy,5250 DiGiorgio Rd. Bakersfield,1528.0,0,0,0,0,0,,53211.53,70.0,466599.76,666571.09,108688.07,292626.1,795802.2,5835673.42,25559.52,26674263.7,48052.05,367978.7,55571.91,0,0,0,25559.52,25559.52,0,0,0,0.52,0,0,0,2023AR_Ansonea Dairy_5250 DiGiorgio Rd_Kern.pdf,,,,,,,,,,,,,,,,6264.799999999999,80941.21599999999,557720.0,0.32954242604966605
VP Legacy Farms,28349 Los Angeles ST Shafter Kern 93263,2545.0,0,0,0,0,0,,84838.33,75.0,0.0,0.0,0.0,0.0,0.0,56176657.0,0.0,0.0,189127.45,1673060.06,64795.5,0,0,0,152898.59,152898.59,0,0,0,1.3,0,0,0,2023AR_VP Legacy Farms_28349 Los Angeles St_Kern.pdf,,,,,,,,,,,,,,,,10434.5,134813.74,928925.0,1.77765955079241
Vanden Berge Dairy,11701 Old River RD,2785.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54309047.0,0.0,0.0,0.0,0.0,32577.69,0,0,0,215318.09,215318.09,0,0,0,1.01,0,0,0,2023AR_Vanden Berge Dairy_11701 Old River Rd_Kern.pdf,,,,,,,,,,,,,,,,11418.499999999998,147527.02,1016525.0,0.0
AJB Ranch Dairy,2874 Stockdale Hwy. Bakersfield Kern 93312,3995.0,0,0,0,0,0,,133754.59,78.0,1185699.86,1693856.94,279940.74,786077.08,2003839.05,55324631.18,73160.56,211342999.89,128724.27,860343.0,81421.1,0,0,0,73160.56,73160.56,0,0,0,0.04,0,0,0,2023AR_AJB Ranch Dairy_2874 Stockdale Hwy_Kern.pdf,,,,,,,,,,,,,,,,16379.499999999998,211623.13999999998,1458175.0,1.0723804556986085
Maya Dairy,18451 Wildwood Rd. Buttonwilllow Kern 93206,4550.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,632126.22,632126.22,0,0,0,0.84,0,0,0,2023AR_Maya Dairy_18451 Wildwood Rd_Kern.pdf,,,,,,,,,,,,,,,,18655.0,241022.6,1660750.0,0.0
Lakeview Dairy,17702 Bear Mountain BLVD Bakersfield Kern 93311,3685.0,0,0,0,0,0,,132215.04,70.0,1169040.44,1670057.77,264869.0,705711.5,0.0,58548934.42,222629.01,203428924.62,167765.43,1614987.7,14316.08,0,0,0,222629.01,222629.01,0,0,0,1.05,0,0,0,2023AR_Lakeview Dairy_17702 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,15108.499999999998,195201.81999999998,1345025.0,1.3709613533266296
Rosa Dairy,4714 E Bear Mountain Blvd Bakersfield Kern 93307,0.0,0,0,0,0,0,,4244.87,70.0,33025.93,47179.9,7467.9,0.0,17476.2,0.0,0.0,0.0,0.0,0.0,22371.97,0,0,0,0.0,0.0,0,0,0,1.39,0,0,0,2023AR_Rosa Dairy_4714 E Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
_ Bidart 2,20400 Old River Rd. Bakersfield Kern 93311,7870.0,0,0,0,0,0,,253739.08,75.0,2261117.17,3230167.38,529001.43,1533030.56,3891849.0,236526594.0,855224.56,115193.83,1138267.24,8935046.12,452787.49,0,0,0,855224.56,855224.56,0,0,0,1.04,0,0,0,2023AR_Bidart Dairy 2_20400 Old River Rd_Kern.pdf,,,,,,,,,,,,,,,,32266.999999999996,416889.63999999996,2872550.0,2.420392126184256
Faial Farms 2,18683 Magnolia Ave Shafter,2196.0,0,0,0,0,0,,0.0,70.0,724933.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41508.46,0,0,0,144460.68,144460.68,0,0,0,1.11,0,0,0,2023AR_Faial Farms 2_18683 Magnolia Ave_Kern.pdf,,,,,,,,,,,,,,,,9003.599999999999,116326.51199999997,801540.0,0.0
Western Sky Dairy,18501 Old River Road Bakersfield Kern 93311,4796.0,0,0,0,0,0,,156378.07,82.0,1386105.7,1980151.0,332155.43,956289.92,0.0,75115560.21,350901.52,0.0,470202.59,3009039.11,73960.42,0,0,0,350901.52,350901.52,0,0,0,1.21,0,0,0,2023AR_Wester Sky Dairy_18501 Old River Rd_Kern.pdf,,,,,,,,,,,,,,,,19663.6,254053.71199999997,1750540.0,1.1536621199726722
McMoo Dairy,11663 Buena Vista Rd Bakersfield Kern 93311,2982.0,0,0,0,0,0,,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148646.16,0,0,0,149706.97,149706.97,0,0,0,1.2,0,0,0,2023AR_McMoo Dairy_11663 Buena Vista Rd_Kern.pdf,,,,,,,,,,,,,,,,12226.199999999999,157962.504,1088430.0,0.0
H&P Dairy,5021 E Bear Mountain Blvd Bakersfield Kern 93307,2388.0,0,0,0,0,0,,83808.56,70.0,730375.57,1043393.68,170542.47,457324.03,1212000.75,18559988.78,21009.08,34945324.54,43671.11,207459.01,189654.47,0,0,0,21009.08,21009.08,0,0,0,0.4,0,0,0,2023AR_H&P Dairy_5021 E Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,9790.8,126497.13599999998,871620.0,0.6706363602540577
Poso Creek Family Dairy LLC,13437 Gun Club RD Wasco Kern 93280,5468.0,0,0,0,0,0,,187508.07,70.0,0.0,0.0,0.0,0.0,0.0,203156890.0,0.0,0.0,549185.96,3732953.52,156433.42,0,0,0,395905.24,395905.24,0,0,0,0.98,0,0,0,2023AR_Poso Creek Family Dairy_13437 Gun Club Rd_Kern.pdf,,,,,,,,,,,,,,,,22418.8,289650.896,1995820.0,3.20587628731613
J&R Dairy,4403 Bear Mountain Blvd Bakersfield,2760.0,0,0,0,0,0,,86541.14,70.0,770446.16,1100637.37,183133.55,528565.47,1407392.55,19750490.11,55745.62,96816454.4,61076.84,544289.45,150770.06,0,0,0,55745.62,55745.62,0,0,0,1.09,0,0,0,2023AR_J&R Dairy_4403 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,11315.999999999998,146202.71999999997,1007400.0,0.6174652260005131
McFarland Dairy,31348 Hanawalt AVE,0.0,0,0,0,0,0,,1.0,1.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_McFarland Dairy_31348 Hanawalt Ave_Kern.pdf,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
T&W Farms 2,5959 Houghton Rd Bakersfield Kern 93311,795.0,0,0,0,0,0,,29674.62,70.0,258873.99,369819.98,60237.19,152249.84,407668.5,19512021.0,50433.47,60667316.04,45300.61,615763.56,0.0,0,0,0,50433.47,50433.47,0,0,0,1.24,0,0,0,2023AR_T&W Farms 2_5959 Houghton Rd_Kern.pdf,,,,,,,,,,,,,,,,3259.4999999999995,42112.73999999999,290175.0,2.1177702117558956
,Faial Farms Dairy,1148.0,0,0,0,0,0,,38626.55,70.0,339758.62,485369.45,80403.42,219852.59,592274.55,3645407.56,5071.02,9925361.54,7381.81,55266.75,0.0,0,0,0,5071.02,5071.02,0,0,0,0.94,0,0,0,2023AR_Faial Farms Dairy_13714 Stine Rd_Kern.pdf,,,,,,,,,,,,,,,,4706.799999999999,60811.85599999999,419020.0,0.2739983269908208
_B.V. Dairy,18904 Bear Mountain Blvd. Bakersfield Kern 93307,3410.0,0,0,0,0,0,,106518.5,75.0,0.0,0.0,0.0,0.0,0.0,67394107.0,0.0,0.0,300897.06,2274644.69,0.0,0,0,0,231130.34,231130.34,0,0,0,0.71,0,0,0,2023AR_BV Dairy_18904 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,13980.999999999998,180634.52,1244650.0,1.5916516725577843
