Origin Dairy Name,Origin Dairy Address,Origin Dairy Address (Geocoded),Hauler Name,Hauler Address,Destination Name,Destination Address,Destination Nearest Cross Street,Destination Type,Destination Type (Standardized),Destination Assessor Parcel Number,Destination Address (Geocoded),Haul Date,First Haul Date,Last Haul Date,Is Pipeline,Manure Mass per Haul (tons),Manure Number of Hauls,Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Manure Density,Method Used to Determine Volume of Manure,Source PDF,County,Consultant,Manifest Number,Start Page,End Page,Manifest Type,Parameter Template
Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,"(37.141921914714, -120.514888689162)",Gomes Farms Llc,P.O. Box 149 El Nido Ca 95317,Gomes Farms Llc (209) 564-2431,El Nido 95317,Coyote Rd Merced,Broker,Broker,,"(37.12954909407, -120.564216398897)",03/27/2024,,3/27/2024,False,,,1344.0,46.0 %,,,24 Tons X 56 Loads,1257 W Roosevelt Rd El Nido 2024 Dairy AR,rancho_cordova,cas,1,33,34,manure,R5-2007-0035_software
Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,"(37.141921914714, -120.514888689162)",Gomes Farms Llc,P.O. Box 149 El Nido Ca 95317,Gomes Farms Llc (209) 564-2431,El Nido 95317,Coyote Rd Merced,Broker,Broker,,"(37.12954909407, -120.564216398897)",07/04/2024,,7/4/2024,False,,,10044.0,23.4 %,,,418.5 Loads X 24 Tons,1257 W Roosevelt Rd El Nido 2024 Dairy AR,rancho_cordova,cas,2,35,36,manure,R5-2007-0035_software
Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,"(37.141921914714, -120.514888689162)",Gomes Farms Llc,P.O. Box 149 El Nido Ca 95317,Gomes Farms Llc (209) 564-2431,El Nido 95317,Coyote Rd Merced,Broker,Broker,,"(37.12954909407, -120.564216398897)",11/22/2024,,11/22/2024,False,,,2280.0,46.0 %,,,95 Loads X 24 Tons,1257 W Roosevelt Rd El Nido 2024 Dairy AR,rancho_cordova,cas,3,37,38,manure,R5-2007-0035_software
S.A.S Dairy #2,12712 W. Bradbury Rd Turlock Ca 95380,"(37.448337011714, -120.993753774554)",Joshua Holsapple'S Fertilizer Spreading Inc.,400 N. Central Avenue Turlock Ca 95380,J.H.F.S. Inc. 400 N. Central Avenue Turlock 95380 (209) 668-4727,400 N. Central Avenue Turlock 95380,,Broker,Broker,,"(37.495688478228, -120.958056506216)",5/14/2024,,5/14/2024,False,,,1250.0,88.6%,,,Number Of Truckloads X Average Truck Weight,12712 W Bradbury Rd Turlock 2024 Dairy AR,rancho_cordova,generic_r5,1,16,17,manure,R5-2007-0035_general_order
Silva Brothers Dairy #1,12997 E. Peltier Road Acampo Ca 95220,"(38.192345331513, -121.157779405433)",Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Rodney Schatz 16100 Alpine Road Lodi Ca 9524 209-369-3321,18247 N. Treathway Road Lockeford Ca,,,,051-016-012,"(37.493122, -120.830427)",4/14/24,,4/14/2024,False,10.0,85,850.0,71.5% Moisture,,,85 Loads At 10 Ton Per Load,12997 E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,generic_r5,2,61,62,manure,R5-2007-0035_general_order
Silva Brothers Dairy #1,12997 E. Peltier Road Acampo Ca 95220,"(38.192345331513, -121.157779405433)",Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Rodney Schatz 16100 Alpine Road Lodi Ca 95240 209-369-3321,16200 Alpine Road Lodi Ca,,,,051-070-20,"(37.954824, -122.526331)",4/24/2024,,4/24/2024,False,10.0,100,1000.0,75.6% Moisture,,,100 Loads At 10 Ton Per Load,12997 E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,generic_r5,3,63,64,manure,R5-2007-0035_general_order
Silva Brothers Dairy #1,12997 E. Peltier Road Acampo Ca 95220,"(38.192345331513, -121.157779405433)",Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Rodney Schatz 16100 Alpine Road Lodi Ca 9524 209-369-3321,22299 Devries Road Lodi Ca,,,,013-020-77,"(41.058758, -121.323463)",10/16/24,,10/16/2024,False,10.0,92,920.0,69% Moisture,,,92 Loads At 10 Ton Per Load,12997 E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,generic_r5,4,65,66,manure,R5-2007-0035_general_order
Silva Brothers Dairy #1,12997 E. Peltier Road Acampo Ca 95220,"(38.192345331513, -121.157779405433)",Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Silva Brothers Dairy #2 25723 N. Elliott Road Galt Ca 95632 209-321-1318,25723 N. Elliott Road Acampo Ca 021,,,,007-013-020,"(35.133806, -120.581811)",10/10/24,,10/10/2024,False,,65,650.0,65.6% Moisture,,,65 Loads At 10 To Per Load,12997 E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,generic_r5,5,67,68,manure,R5-2007-0035_general_order
Silva Brothers Dairy #1,12997 E. Peltier Road Acampo Ca 95220,"(38.192345331513, -121.157779405433)",Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Silva Brothers Dairy #2 25723 N. Elliott Road Galt Ca 95632 209-321-1318,25723 N. Elliott Road Acampo Ca 021,,,,007-013-020,"(35.133806, -120.581811)",5/08/24,,5/8/2024,False,,200,2000.0,75.6% Moisture,,,200 Loads At 10 To Per Load,12997 E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,generic_r5,6,69,70,manure,R5-2007-0035_general_order
Silva Brothers Dairy #1,12997 E. Peltier Road Acampo Ca 95220,"(38.192345331513, -121.157779405433)",Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Joe Silva 12997 Peltier Road Acampo Ca 95220 209-607-7197,216 Ca State Hwy. 220 Ryde Ca,,,,142-0100-031,"(37.800608, -122.413795)",10/02/24,,10/2/2024,False,10.0,275,2750.0,69.0% Moisture,,,275 Loads At 10 Ton Per Load,12997 E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,generic_r5,7,71,72,manure,R5-2007-0035_general_order
Frank Chaves Dairy #1,E. Harney Lane Lodi 95240,"(38.101724455615, -121.174420525951)",Frank Chaves Dairy #1,13080 E. Harney Lane. Lodi 95240,Chaves Dairy #2 12021 E. Harney Lanelodi 95240 (209) 329-4243,Same Lodi,,,,630-X250-Xx01-0000,"(38.135674, -121.279196)",10/01-11/15/2024,11/15/2024,10/1/2026,False,,,250.0,(If Amount Reported In 73.5% Moisture,,,Hauler'S Estimate V,13080 E Harney Ln Lodi 2024 Dairy AR,rancho_cordova,generic_r5,1,41,42,manure,R5-2007-0035_general_order
Azevedo Dairy Inc.,1337 Magnolia Avenue Patterson Ca 95363,"(37.515853535158, -121.131407674929)",Azevedo Dairy Inc.,1337 Magnolia Avenue Patterson Ca 95363,Jca Custom Farming 1343 Magnolia Avenue Patterson 95363 (209) 495-3055,1343 Magnolia Avenue Patterson 95363,,Farmer,Farmer,,"(37.516358796282, -121.131611774271)",5/18/24,,5/18/2024,False,,,1200.0,81.3%,,,Number Of Truckloads X Average Truck Weight,1343 Magnolia Ave Patterson 2024 Dairy AR,rancho_cordova,generic_r5,1,45,46,manure,R5-2007-0035_general_order
Azevedo Dairy Inc.,1337 Magnolia Avenue Patterson Ca 95363,"(37.515853535158, -121.131407674929)",Azevedo Dairy Inc.,1337 Magnolia Avenue Patterson Ca 95363,Jca Custom Farming 1343 Magnolia Avenue Patterson 95363 (209) 495-3055,1343 Magnolia Avenue Patterson 95363,,Farmer,Farmer,,"(37.516358796282, -121.131611774271)",10/28/24,,10/28/2024,False,,,1500.0,91.3%,,,Number Of Truckloads X Average Truck Weight,1343 Magnolia Ave Patterson 2024 Dairy AR,rancho_cordova,generic_r5,2,47,48,manure,R5-2007-0035_general_order
Lima Ranch,13436 N. Thornton Road Lodi Ca 95242,"(38.099086684221, -121.38365442929)",Joe Avis Farms,4510 Point Pleasant Rd. Elk Grove Ca 95757,Joe Avis Farms 4510 Point Pleasant Road Elk Grove Ca 95757 916-684-1774,4510 Point Pleasant Road Elk Grove Ca 95757,,,,,"(38.339266152487, -121.450013150127)",,,,False,25.0,120,3000.0,(If,,(If Amount Reported In Cubic Yards),120 Loads At 25 Ton Per Load,13436 N Thornton Rd Lodi 2024 Dairy AR,rancho_cordova,generic_r5,1,105,106,manure,R5-2013-0122_general_order
Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,"(37.269334931518, -120.996679058763)",J&F Fertilizer,1275 North Ave Gustine Ca 95322,J&F Fertilizer (209) 495-1964,1275 North Ave Gustine 95322,Merced,Composting Facility,Composting Facility,,"(37.260716449125, -121.007144535429)",12/15/2024,,12/15/2024,False,,,1650.0,59.6 %,,,Total Loads Multiplied By Average Load Weight,1369 S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,generic_r5,1,50,51,manure,R5-2007-0035_software
Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,"(37.269334931518, -120.996679058763)",J&F Fertilizer,1275 North Ave Gustine Ca 95322,Martins View Heifer Facility (209) 678-1156,29120 Fentem Rd Gustine 95322,Merced,Farmer,Farmer,,"(37.260487413621, -121.016121469911)",05/07/2024,,5/7/2024,False,,,2520.0,32.0 %,,,Total Loads Multiplied By Average Load Weight,1369 S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,generic_r5,2,52,53,manure,R5-2007-0035_software
Healy Ranch (Formally Guilherme Brasil Dairy),13701 S Hwy 59 El Nido Merced 95317,"(37.088312770747, -120.492728445908)",Gomes Farms Inc.,13625 Coyote Rd El Nido Ca 95317,Gomes Farms Inc. (209) 564-2431,13625 Coyote Rd El Nido 95317,Madera,Farmer,Farmer,,"(37.090648555705, -120.510582654043)",07/08/2024,,7/8/2024,False,,,850.0,35.6 %,,,Number Of Loads Multiplied By Load Weight,13701 S Hwy 59 El Nido 2024 Dairy AR,rancho_cordova,generic_r5,3,93,94,manure,R5-2007-0035_software
Alden Peterson & Sons Dairy,1431 N. Central Ave. Turlock Ca 95380,"(37.506513789998, -120.958869802281)",Five Star,219 Jenson Rd. Gustine Ca 95322,Gioletii Inc. 1007 Fulkerth Rd. Turlock 95380 (209) 678-3272,,,,,022-022-013,"(35.571275, -121.108489)",9/10/24,,9/10/2024,False,12.0,,700.0,@71.9%.,,,@ 12 Tons Per Load,"1431 N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,2,60,61,manure,R5-2007-0035_general_order
Haringa Dairy,14842 E. Keyes Rd. Denair 95316,"(37.547636161348, -120.721130445935)",Johnson Farms,P.O. Box 868 Denair 95316,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,,,,,"(37.535437893837, -120.69666333529)",11/2/24,,11/2/2024,False,,,2700.0,49.9% Moisture,,,Hauler'S Calculation,14842 E Keyes Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,2,44,45,manure,R5-2007-0035_general_order
Ivy Star Dairy Llc,14903 Volta Rd Los Banos Merced 93635,"(37.071781268842, -120.928324051634)",David Santos Farming,720 Jfferson Ave Los Banos Ca 93635,David Santos Farming (209) 826-1065,720 Jefferson Ave Los Banos 93635,Merced,Farmer,Farmer,,"(37.054165422979, -120.846201632686)",07/24/2024,,7/24/2024,False,,,4128.0,42.3%,,,Tons Per Load,14903 S Volta Rd Los Banos 2024 Dairy AR,rancho_cordova,cas,2,34,35,manure,R5-2007-0035_software
Lockwood Iii Dairy,15343 Tim Bell Rd. Waterford 95386,"(37.674420032499, -120.71171840686)",Hinds Spreading,19075 Third Ave. Stevinson 95374,Peterson Farms 2902 Tim Bell Rd Waterford 95386 (209) 606-7463,Same Waterford 95386,,,,,"(37.6414119, -120.7549474)",5/01-Amount Hauled,,5/1/2026,False,,,1330.0,(If Amount Reported In Moisture,,,Hauler'S Estimation,15343 Tim Bell Rd Waterford 2024 Dairy AR,rancho_cordova,generic_r5,1,26,27,manure,R5-2007-0035_general_order
Lockwood Iii Dairy,15343 Tim Bell Rd. Waterford 95386,"(37.674420032499, -120.71171840686)",5M Hay & Ag,1831,Same,Denair,,,,020-X006-X027-X000,"(37.527918, -120.794017)",September 5-7 2024,7/11/2024,9/5/2026,False,,,1000.0,14.7%,,,Hauler'S Estimate.,15343 Tim Bell Rd Waterford 2024 Dairy AR,rancho_cordova,generic_r5,2,28,29,manure,R5-2007-0035_general_order
Antonio Brasil Dairy,15373 S Flanagan Rd Dos Palos Merced 93620,"(37.063477681282, -120.528487683447)",Azevedo Trucking,18108 Lexington Ave Dos Palos Ca 93620,Azevedo Trucking (209) 392-6545,Dos Palos 93620,Lexington Ave Merced,Broker,Broker,,"(37.305541439273, -120.446836103678)",07/09/2024,,7/9/2024,False,,,7135.0,34.6 %,,,Tons Per Load X Loads,15373 S Flanagan Rd Dos Palos 2024 Poultry AR,rancho_cordova,cas,1,77,78,manure,R5-2007-0035_software
Antonio Brasil Dairy,15373 S Flanagan Rd Dos Palos Merced 93620,"(37.063477681282, -120.528487683447)",Azevedo Trucking,18108 Lexington Ave Dos Palos Ca 93620,Azevedo Trucking (209) 392-6545,Dos Palos 93620,Lexington Ave Merced,Broker,Broker,,"(37.305541439273, -120.446836103678)",11/07/2024,,11/7/2024,False,,,4565.0,34.6 %,,,Tons Per Load X Loads,15373 S Flanagan Rd Dos Palos 2024 Poultry AR,rancho_cordova,cas,2,79,80,manure,R5-2007-0035_software
O'Banion Ranches,15775 S Indiana Rd Dos Palos Merced 93620,"(37.05749255468, -120.599232428055)",Azevedo Brothers Trucking,6445 W Hwy 152 Dos Palos Ca 93620,Curran Ranch (209) 587-1446,15735 Indiana Rd Dos Palos 93620,Merced,Farmer,Farmer,,"(37.05783609506, -120.598587858567)",10/15/2024,,10/15/2024,False,,,100.0,69.2 %,,,Average Load Weight Multiplied By Total Loads,15775 S Indiana Ave Dos Palos 2024 Dairy AR,rancho_cordova,generic_r5,1,72,73,manure,R5-2007-0035_software
O'Banion Ranches,15775 S Indiana Rd Dos Palos Merced 93620,"(37.05749255468, -120.599232428055)",Azevedo Brothers Trucking,6445 W Hwy 152 Dos Palos Ca 93620,Curran Ranch (209) 587-1446,15735 Indiana Rd Dos Palos 93620,Merced,Farmer,Farmer,,"(37.05783609506, -120.598587858567)",10/15/2024,,10/15/2024,False,,,100.0,77.0 %,,,Average Load Weight Multiplied By Total Tons,15775 S Indiana Ave Dos Palos 2024 Dairy AR,rancho_cordova,generic_r5,2,74,75,manure,R5-2007-0035_software
Manuel Da Silva Dairy,15836 Steinegul Road Escalon 95320,"(37.819874048149, -120.960121723339)",Manuel Da Silva Dairy,15834 Steinegul Rd Escalon 95320,Jerry Dasilva 18173 Steinegul Rd Escala 95320 209652 8012,26000 Edwards Rd-Escala 953200207020100,,,,,"(34.92609, -117.93507)",9/15/24,,9/15/2024,False,,,350.0,,,,Hanter'S Calculations,15836 Steingul Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,1,80,81,manure,R5-2007-0035_general_order
Pires Dairy Farms,1622 Kniebes Rd Gustine Ca 95322,"(37.266027348706, -120.98428364889)",Gibs Hinds Manure Spreading,19075 W Third Ave. Stevinson Ca 95374,Gibs Hinds Manure Spreading 19075 W. Third Ave. Stevinson Ca. 95374 209-634-8934,19075 W. Third Ave. Stevinson Ca. 95374,,Composting Facility,Composting Facility,,"(37.325729172363, -120.834534746052)",10/17/24,,10/17/2024,False,,,22000.0,82.5%,,,Number Of Truckloads X Average Truck Weight,1622 Kniebes Rd Gustine 2024 Dairy AR,rancho_cordova,generic_r5,1,72,73,manure,R5-2007-0035_general_order
M & M Cardoso & Sons Dairy Ltd,16489 August Ave Delhi Merced 95315,"(37.419064723616, -120.786007885256)",Cardoso Farm Services Inc.,P.O. Box 60 Hilmar Ca 95324,Joey Machado (209) 606-8475,Turlock 95380,Youngstown Rd Merced,Farmer,Farmer,,"(37.456154551754, -120.821661551551)",04/23/2024,,4/23/2024,False,,,1300.0,69.2 %,,,Tons Per Load,16489 August Ave Delhi 2024 Dairy AR,rancho_cordova,cas,1,45,46,manure,R5-2007-0035_software
John Brasil Dairy #3,1707 S. Mitchell Road Turlock Ca 95380,"(37.477063218819, -120.940449983319)",John Brasil Dairy #1,2613 S. Mitchell Road Turlock Ca 95380,Jb Farms 8400 W. Linwood Avenue Turlock 95380 (209) 656-9005,9730 W. Bradbury Road Turlock 95380,,Farmer,Farmer,,"(37.44895195004, -120.960190203488)",5/23/2024,,5/23/2024,False,,,1000.0,93.7%,,,Number Of Truckloads X Average Truck Weight,"1707 S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,1,31,32,manure,R5-2007-0035_general_order
