Source PDF,Street no,Rest of PDF,County,Manifest Number,Is Duplicate,Start Page,End Page,Manifest Type,DONE,Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Assessor Parcel Number,Destination Type (Standardized),First Haul Date,Last Haul Date,Unique Hauling Days Mentioned,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Total Manure Amount (cubic yards),Manure Density,Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Manure Number of Hauls,Manure Mass per Haul (tons),Manure Volume per Haul (cubic yards),Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Is Pipeline,Parameter Template
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,4,,125,126,manure,x,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,5810 23Rd Ave Riverdale 93656,,,,Composting Facility,,2024-02-15,,,620.0,,,,,Wtd Avg,,,,,,,,,False,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,5,,127,128,manure,x,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,Thomas Dros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Av. Riverdale 93656 906-1406,5810 23Rd Ave Riverdale 93656,,,,Broker,,2024-03-04,,,570.0,,,,,Wtd Avg,,,,,,,,,False,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,6,,129,130,manure,x,Frank S. Brown,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave 93656 906-1406,5810 23Rd Ave Riverdale 93656,,,,Broker,,2024-04-23,,,1019.2,,,,,Wtd Avg,,,,,,,,,False,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,7,,131,132,manure,x,Frank S. Brown Co,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,5810 23Rd Ave Riverdale 93656,,,,Broker,,2024-05-31,,,1003.24,,,,,Wtd Avg,,,,,,,,,False,R5-2007-0035_general_order
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,1,,18,19,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,,Farmer,,2024-12-31,,1423800.0,,,,,,,Runtime Multiplied By The Gallons Per Minute.,,,,,,,,False,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,2,,20,21,manure,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles,9685 S. Hughes Fresno CA 93725,Fresno 93706,S. Hughes Fresno,,Broker,,2024-12-13,,,770.0,85.9,,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,,,,,,,,False,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,3,,22,23,manure,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles,9685 S. Hughes Fresno CA 93725,Fresno 93706,S. Hughes Fresno,,Broker,,2024-11-22,,,462.0,79.3,,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,,,,,,,,False,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,4,,24,25,manure,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles,9685 S. Hughes Fresno CA 93725,Fresno 93706,S. Hughes Fresno,,Broker,,2024-10-22,,,770.0,85.9,,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,,,,,,,,False,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,5,,26,27,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,S. Brawley & Lincoln Avenue Fresno,,Farmer,,2024-10-08,,600000.0,,,,,,,Tank Capacity Multiplied By The Number Of Tanks Applied,,,,,,,,False,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,6,,28,29,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,,Farmer,,2024-09-30,,762300.0,,,,,,,Runtime Multiplied By The Gallons Per Minute.,,,,,,,,False,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,7,,30,31,manure,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles,9685 S. Hughes Fresno CA 93725,Fresno 93706,S. Hughes Fresno,,Broker,,2024-08-15,,,3483.0,85.9,,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,,,,,,,,False,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,8,,32,33,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,,Farmer,,2024-06-30,,1272600.0,,,,,,,Runtime Multiplied By The Gallons Per Minute.,,,,,,,,False,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,9,,34,35,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,,Farmer,,2024-03-31,,1627200.0,,,,,,,Runtime Multiplied By The Gallons Per Minute.,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,1,,189,190,manure,x,Fred Rau Dairy Inc.,10255 W. Manning Fresno Fresno County 93706 Zip Code,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,Hughes Ave Fresno,,Fenderup,,2024-08-24,,,675.0,41.73,,,,Truck Loads,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,2,,191,192,manure,x,Fred Bau Dairy Inc.,10255 W. Manning Fresno Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,,,Fenderup,,2024-09-02,,,675.0,13.3,,,,Weighed Averaged The Truck Loads,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,3,,193,194,manure,x,Fred Rau Daily Ive.,W. Manning Fresno Fresno 93706,M. Avias Trucking Llc,9321 S. Ormus Ave Raisincity Ca 93652,,,,,,Fenderup,,2024-09-04,,,562.5,133.0,,,,Process Wastewater Amount Hauled,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,4,,195,196,manure,x,Fred Rau Pairy,10255 W. Manning Ave Fresco Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,,,Fenderup,,2024-09-07,,,337.5,38.8,,,,Weighed & Averaged The Truck Loads,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,5,,197,198,manure,x,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,Valentine American Fresno,,Fenderup,,2024-09-09,,,187.5,38.9,,,,Weighed & Average The Truck Loads.,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,6,,199,200,manure,x,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,West & American Fresno,,Fenderup,,2024-09-11,,,562.5,38.8,,,,Weighed & Averaged The Truck Loads,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,7,,201,202,manure,x,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93206,M. Arias Trucking Llc,9321 S. Ormus Ave Ralsin City Ca 93652,,,,Marks Ave Fresno,,Fenderup,,2024-09-27,,,450.0,35.8,,,,Weighted & averaged truck loads,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,8,,203,204,manure,x,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93206,M. Arias Trucking Llc,9821 S. Ormus Ave Raisin City Ca 93652,,,,,,Fenderup,,2024-09-28,,,4500.0,35.8,,,,Weighed & Averaged Truck Bades,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,9,,205,206,manure,x,Fred Rau Dairy Juc.,9321 S. Ormus Ave. Raisin City Fresno 93652,M. Arias Trucking Llc,,,,,,,Fenderup,,2024-10-07,,,450.0,46.1,,,,Weighed & Averaged Truck Loads,,,,,,,,,False,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,10,,207,208,manure,x,Fred Rau Dairy Juc.,10255 W. Manning Ave Fresno Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,,,Fenderup,,2024-10-22,,,675.0,12.2,,,,Weighed & Averaged Truck Loads,,,,,,,,,False,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,1,,21,22,manure,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,Burrows Trucking,13265 W. Jensen Avenue Kerman Ca 93630,Burrow Trucking & Spreading (559) 846-9129,13265 W. Jensen Avenue Kerman CA 93630,Fresno 93706,W. Jensen Avenues Fresno,,Broker,,2024-02-09,,,2452.0,64.8,,,,Averaged Scale Weighed Loads Multiplied By The Number Of Loads Exported.,,,,,,,,,False,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,2,,23,24,wastewater,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,,Farmer,,2024-03-31,,6300021.0,,,,,,,Run-Times Multiplied By The Gpm Of The Lagoon Pump.,,,,,,,,False,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,3,,25,26,wastewater,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,,Farmer,,2024-06-30,,4921891.0,,,,,,,Run-Times Multiplied By The Gpm Of The Lagoon Pump.,,,,,,,,False,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,4,,27,28,wastewater,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,,Farmer,,2024-09-30,,2953135.0,,,,,,,Run-Times Multiplied By The Gpm Of The Lagoon Pump.,,,,,,,,False,R5-2007-0035_software
