Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Address,Destination Type,Haul Date,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Density,Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Source PDF,Manifest Number,Origin Dairy Address (Geocoded),Destination Address (Geocoded)
Cal-Denier Dairy,,Warren Spreading,27613 Sowles Rd. Galt 95632,Salas Ranch 10630 Salas Rd. Wilton 95639,X134-0250-X001-0000 & X134-0230-X009-0000,,9/27 - 12/10/2024,,1650.0,,,The,Written Agreement,10715 Arno Rd Galt 2024 Dairy AR,2,,"(36.374105693, -119.27023)"
,10836 Hwy 120 Oakdale 95361,Jeff Lemas Alp Spreading,,12000,12000 Hwy. 120 Oakdale Ca 95361 010-008-046,,7-30-24,,600.0,,,60 Loads @Iot/Load,Written Agreement,10836 Hwy 120 Oakdale 2024 Dairy AR ,1,"(37.774828527018, -120.795311294866)","(37.776732716183, -120.774616175108)"
,10836 120 Oakdale 95361,Genace Hay Co.,,Mitch Hegoas 11549 28 Milerd. Oakdale 95361,11549 28 Mili Rd. Oakdale 95361 002-050-006,,11-11-12-24,,1200.0,,,120 Loads@ 10T/Lead,Written Agreement;,10836 Hwy 120 Oakdale 2024 Dairy AR ,2,"(37.774828527018, -120.795311294866)","(37.806650506242, -120.841241693516)"
Albert Mendes Dairy,,Five Star Custom Spreading,,Albert Mendes Fish Farm,Address City Zip Code,Farmer,05/31/2024,,1470.0,,,Haulers Calcs,,1100 Ruble Rd Crows Landing 2024 Dairy AR,1,,"(38.2964476, -76.5088295)"
Albert Mendes Dairy,,Five Star Custom Spreading,,Albert Mendes Fish Farm,Address City Zip Code,Farmer,06/03/2024,,1380.0,,,Haulers Calcs,,1100 Ruble Rd Crows Landing 2024 Dairy AR,2,,"(38.2964476, -76.5088295)"
Joe & Teresa Soares Dairy #1,,Cardoso Farm Services Inc.,,Cardoso Farm Services Inc,Turlock 95380,Broker,10/30/2024,,6136.0,,,Tons X Loads,,"11076 Vincent Rd, Turlock 2024 Dairy AR",1,,"(37.493719, -120.852279)"
U Bar Dairy,,Warren Spreading,27613 Sowles Rd. Galt 95632,Frank Riccobuono 11151 Liberty Rd. Galt 95632 209-368-4514,Same,,September 23-26 2024,,470.0,,,The,Written Agreement,11100 E Liberty Rd Galt 2024 Dairy AR,1,,"(36.374105693, -119.27023)"
Lucas Dairy,Contact Person Name And Phone,Five Star Custom Spreading,P.O. Box 488 Gustine Ca 95322,Five Star Custom Spreading P.O. Box 488 Gustine 95322,750 East Ave Gustine 95322,Broker,10/11/2024,,2600.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,11204 Fulkerth Rd Turlock 2024 Dairy AR,1,"(38.1302, -121.24717)","(37.252812984983, -120.994122997389)"
Fire-Lake Jerseys,Contact Person Name And Phone,Joshua Holsapple'S Fertilizer Spreading Inc.,400 N. Central Avenue Turlock Ca 95380,J.H.F.S. Inc. 400 N. Central Avenue Turlock 95380,400 N. Central Avenue Turlock 95380,Broker,10/21/24,,1100.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,11301 W Bradbury Rd Turlock 2024 Dairy AR,1,"(38.1302, -121.24717)","(37.495688478228, -120.958056506216)"
T & L Family Dairy Llc (Da Rosa Facility),Contact Person Name And Phone,Dores Ag Services Inc.,22846 Second Avenue Stevinson Ca 95374,Silva Brothers 224 S. Roselawn Ave Turlock 95380,224 S. Roselawn Ave Turlock 95380,Farmer,5/13/2024,,1100.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"1131 Story Rd, Turlock 2024 Dairy AR",1,"(38.1302, -121.24717)","(37.490211239779, -120.798393069207)"
Verpura Son Dairy,,Avila Spreading Service,Do Box 580742 Modesto 95358,Fiscalini Farms 4848 Jackson Rd. Modesto 95358,4848 Jackson Rd. Modesto 95358 0001 0001 0001 0000,,6/11-13 2024,,730.0,,,The,Written Agreement,1142 N Hart Rd Modesto 2024 Dairy AR,1,,"(37.708481991528, -121.130542997797)"
Verburg & Sen Dairy,,Avila Spreading,Po Box 580742 Modesto 95358,Jared Heinrich 6830 Bluesum Ave Modesto 95358 2095954966,4830 Bluesum Ave Modesto 95358 012 029 001 000,,10/29-30,,50.0,,,The,Written Agreement,1142 N Hart Rd Modesto 2024 Dairy AR,3,,"(37.626573, -121.035097)"
Sb Farms,,Taj Silva Farms,12997 E. Peltier Rd. Acampo 95220,Same,216 Hwy. 220 Ryde 95680 X142-0100-X031-Xxxx,,May 27-30 2024,,2000.0,,,Load.,Written Agreement,11450 Carroll Rd Elk Grove 2024 Dairy AR,1,,"(38.229452142599, -121.570813023285)"
Sb Farms,,Taj Silva Farms,E. Peltier Rd. Acampo 95220,Same,216 Hwy. 220 Ryde 95680 X142-0100-X031-Xxxx,,Oct 14-17 2024,,1000.0,,,Load.,Written Agreement,11450 Carroll Rd Elk Grove 2024 Dairy AR,2,,"(38.229452142599, -121.570813023285)"
Machado & Sons Dairy,,Van Steyn Dairy #1,Carroll Rd. Elk Grove 95757,Same As Hauler,(01) X132-0240-X047-0000,,October 14-18 2024,,320.0,,,The,Written Agreement,11735 Carroll Rd Elk Grove 2024 Dairy AR,1,,"(37.637267178215, -120.987384027237)"
; Alberto Dairy,11737 Blue Gum Rd Hickman Ca 95323,Eniz Brothers,9230 Patterson Rd Oakdale Ca 95361,Deniz Brothers 5230 Patterson Rd Oakdale Ca 95361 209-869-1083,,,,,1900.0,,,,,11737 Bluegum Rd Hickman 2024 Dairy AR,1,"(37.617694664569, -120.777539145564)",
,,,,,,,,,475.0,,,,,11910 Bruceville Rd Elk Grove 2024 Dairy AR,1,,
Grand View Dairy,,Grand View Farms,,Dhillon Ranch,Address City Zip Code,Farmer,05/15/2024,,2898.0,,,Average Load Weight By Total Loads,,11923 E Childs Ave L Grand 2024 Dairy AR,1,,"(38.2964476, -76.5088295)"
Antonio Azevedo Dairy # 4,,Gomes Farms Llc,,Gomes Farms Llc,El Nido 95317,Broker,03/27/2024,,1344.0,,,24 Tons X 56 Loads,,1257 W Roosevelt Rd El Nido 2024 Dairy AR,1,,"(37.1366112, -120.4920421)"
Antonio Azevedo Dairy # 4,,Gomes Farms Llc,,Gomes Farms Llc,El Nido 95317,Broker,07/04/2024,,10044.0,,,418.5 Loads X 24 Tons,,1257 W Roosevelt Rd El Nido 2024 Dairy AR,2,,"(37.1366112, -120.4920421)"
Antonio Azevedo Dairy # 4,,Gomes Farms Llc,,Gomes Farms Llc,El Nido 95317,Broker,11/22/2024,,2280.0,,,95 Loads X 24 Tons,,1257 W Roosevelt Rd El Nido 2024 Dairy AR,3,,"(37.1366112, -120.4920421)"
S.A.S Dairy #2,Contact Person Name And Phone,Joshua Holsapple'S Fertilizer Spreading Inc.,400 N. Central Avenue Turlock Ca 95380,J.H.F.S. Inc. 400 N. Central Avenue Turlock 95380,400 N. Central Avenue Turlock 95380,Broker,5/14/2024,,1250.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,12712 W Bradbury Rd Turlock 2024 Dairy AR,1,"(38.1302, -121.24717)","(37.495688478228, -120.958056506216)"
Silva Brothers Dairy #1,,Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Rodney Schatz 16100 Alpine Road Lodi Ca 9524 209-369-3321,18247 N. Treathway Road Lockeford Ca 95237 051-016-012,,4/14/24,,850.0,,,85 Loads At 10 Ton Per Load,Written Agreement,12997 E Peltier Rd Acampo 2024 Dairy AR,2,,"(38.149271024461, -121.183414450466)"
Silva Brothers Dairy #1,,Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Rodney Schatz 16100 Alpine Road Lodi Ca 95240 209-369-3321,16200 Alpine Road Lodi Ca 95242 051-070-20,,4/24/2024,,1000.0,,,100 Loads At 10 Ton Per Load,Written Agreement,12997 E Peltier Rd Acampo 2024 Dairy AR,3,,"(38.1262977, -121.3030016)"
Silva Brothers Dairy #1,,Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Rodney Schatz 16100 Alpine Road Lodi Ca 9524 209-369-3321,22299 Devries Road Lodi Ca 95242 013-020-77,,10/16/24,,920.0,,,92 Loads At 10 Ton Per Load,Written Agreement,12997 E Peltier Rd Acampo 2024 Dairy AR,4,,"(38.187610142952, -121.356578954196)"
Silva Brothers Dairy #1,,Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Silva Brothers Dairy #2 25723 N. Elliott Road Galt Ca 95632 209-321-1318,25723 N. Elliott Road Acampo Ca 95632 007-013-020 021,,10/10/24,,650.0,,,65 Loads At 10 To Per Load,Written Agreement,12997 E Peltier Rd Acampo 2024 Dairy AR,5,,"(38.221499267137, -121.172097372437)"
Silva Brothers Dairy #1,,Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Silva Brothers Dairy #2 25723 N. Elliott Road Galt Ca 95632 209-321-1318,25723 N. Elliott Road Acampo Ca 95632 007-013-020 021,,5/08/24,,2000.0,,,200 Loads At 10 To Per Load,Written Agreement,12997 E Peltier Rd Acampo 2024 Dairy AR,6,,"(38.221499267137, -121.172097372437)"
Silva Brothers Dairy #1,,Silva Brothers Dairy,12997 E. Peltier Road Acampo Ca 95220,Joe Silva 12997 Peltier Road Acampo Ca 95220 209-607-7197,216 Ca State Hwy. 220 Ryde Ca 95680 142-0100-031,,10/02/24,,2750.0,,,275 Loads At 10 Ton Per Load,Written Agreement,12997 E Peltier Rd Acampo 2024 Dairy AR,7,,"(38.229452142599, -121.570813023285)"
Frank Chaves Dairy #1,,Frank Chaves Dairy #1,13080 E. Harney Lane. Lodi 95240,Chaves Dairy #2 12021 E. Harney Lanelodi 95240,Same Lodi 95240 X630-X250-Xx01-0000,,10/01 - 11/15/2024,,250.0,,,The,Written Agreement,13080 E Harney Ln Lodi 2024 Dairy AR,1,,"(38.1243105, -121.260412)"
Van Groningen & Sons Inc.,,Victor Brasil,21768 E. Lone Tree Rd. Escalon 95320,Name Jason Van Groningen 15100 Jack Tone Rd. Manteca 95336,X203-X060-Xx03-Xxxx,,June - Sept. 2024,,960.0,,,Hauler'S Estimation,,13293 E Louise Ave Manteca 2024 Dairy AR,1,,"(36.374105693, -119.27023)"
Amarjit Kaile Property,,Warren Spreading,27613 Sowles Rd. Galt 95632,Umid Babjanov 9500 Robson Rd. Galt 95632 209-747-8297,Same,,October 1-5 2024,,780.0,,,The,Written Agreement,13340 Sargent Ave Galt 2024 Dairy AR,1,,"(36.374105693, -119.27023)"
Azevedo Dairy Inc.,Contact Person Name And Phone,Azevedo Dairy Inc.,1337 Magnolia Avenue Patterson Ca 95363,Jca Custom Farming 1343 Magnolia Avenue Patterson 95363,1343 Magnolia Avenue Patterson 95363,Farmer,5/18/24,,1200.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,1343 Magnolia Ave Patterson 2024 Dairy AR,1,"(38.1302, -121.24717)","(37.516358796282, -121.131611774271)"
Azevedo Dairy Inc.,Contact Person Name And Phone,Azevedo Dairy Inc.,1337 Magnolia Avenue Patterson Ca 95363,Jca Custom Farming 1343 Magnolia Avenue Patterson 95363,1343 Magnolia Avenue Patterson 95363,Farmer,10/28/24,,1500.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,1343 Magnolia Ave Patterson 2024 Dairy AR,2,"(38.1302, -121.24717)","(37.516358796282, -121.131611774271)"
Lima Ranch,13436 N. Thornton Road Lodi Ca 95242,Joe Avis Farms,4510 Point Pleasant Rd. Elk Grove Ca 95757,Joe Avis Farms 4510 Point Pleasant Road Elk Grove Ca 95757 916-684-1774,4510 Point Pleasant Road Elk Grove Ca 95757,,,,3000.0,,,120 Loads At 25 Ton Per Load,Written Agreement,13436 N Thornton Rd Lodi 2024 Dairy AR,1,"(38.099086684221, -121.38365442929)","(38.339266152487, -121.450013150127)"
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,1/17/24,,3020.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,1,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,4/3/24,,520.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,2,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,2/27/24,,1160.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,3,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,4/10/24,,2980.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,4,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,7/24/24,,360.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,5,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,6/5/24,,380.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,6,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,10/31/24,,2820.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,8,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,9/25/24,,580.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,9,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,12/13/24,,2180.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,11,,
Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380,,,12/31/24,,840.0,,,The,Written Agreement,13640 Collier Rd Delhi 2024 Dairy AR,12,,
Healy Ranch (Formally Guilherme Brasil Dairy),,Shuteye Transco Llc,,Flying M Ranch,Address City Zip Code,Farmer,05/15/2024,,1700.0,,,Number Of Loads Multiplied By Load Weight,,13701 S Hwy 59 El Nido 2024 Dairy AR,1,,"(38.2964476, -76.5088295)"
Healy Ranch (Formally Guilherme Brasil Dairy),,Shuteye Transco Llc,,Flying M Ranch,Address City Zip Code,Farmer,05/20/2024,,2400.0,,,Number Of Loads Multiplied By Load Weight.,,13701 S Hwy 59 El Nido 2024 Dairy AR,2,,"(38.2964476, -76.5088295)"
Healy Ranch (Formally Guilherme Brasil Dairy),,Gomes Farms Inc.,,Gomes Farms Inc.,13625 Coyote Rd El Nido 95317,Farmer,07/08/2024,,850.0,,,Number Of Loads Multiplied By Load Weight,,13701 S Hwy 59 El Nido 2024 Dairy AR,3,,"(37.090648555705, -120.510582654043)"
Healy Ranch (Formally Guilherme Brasil Dairy),,Shuteye Transco Llc,,Flying M Ranch,Address City Zip Code,Farmer,10/08/2024,,425.0,,,Number Of Loads Multiplied By Load Weight,,13701 S Hwy 59 El Nido 2024 Dairy AR,4,,"(38.2964476, -76.5088295)"
Healy Ranch (Formally Guilherme Brasil Dairy),,Shuteye Transco Llc,,Flying M Ranch,Address City Zip Code,Farmer,10/10/2024,,625.0,,,Number Of Loads Multiplied By Load Weight,,13701 S Hwy 59 El Nido 2024 Dairy AR,5,,"(38.2964476, -76.5088295)"
Fragoso Dairy #2,14691 Bren,Brasil & Sons,21768 E. Lone Tree Road Escalon Ca 95320,Brasil & Sons 21768 E. Lone Tree Road Escalon Ca 95320 209-595-1577,20623 E. Lone Tree Road Escalon Ca 95320 205-110-04,,,,1720.0,,,172 Loads At 10 Ton Per Load,Written Agreement,14691 S Brennan Rd Escalon 2024 Dairy AR,1,"(36.374105693, -119.27023)","(37.827479593171, -121.057114550001)"
Haringa Dairy,,Johnson Farms,P.O. Box 868 Denair 95316,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,,11/2/24,,2700.0,,,Hauler'S Calculation,Written Agreement,14842 E Keyes Rd Denair 2024 Dairy AR,2,,"(37.535437893837, -120.69666333529)"
Ivy Star Dairy Llc,,David Santos Farming,,David Santos Farming,720 Jefferson Ave Los Banos 93635,Farmer,07/24/2024,,4128.0,,,Tons Per Load,,14903 S Volta Rd Los Banos 2024 Dairy AR,2,,"(37.071043787092, -120.9345632889)"
Lockwood Iii Dairy,,Hinds Spreading,19075 Third Ave. Stevinson 95374,Peterson Farms 2902 Tim Bell Rd Waterford 95386,Same Waterford 95386,,5/01 -,,1330.0,,,The,Written Agreement,15343 Tim Bell Rd Waterford 2024 Dairy AR,1,,"(37.6414119, -120.7549474)"
Lockwood Iii Dairy,,5M Hay & Ag,1831,Same,Denair 95316 X020-X006-X027-X000,,September 5-7 2024,,1000.0,,,The,Written Agreement,15343 Tim Bell Rd Waterford 2024 Dairy AR,2,,"(37.530085, -120.790321)"
Vanderscaff 2,Contact Person Name And Phone,Bruce Mellor Inc.,18119 E. Avena Rd. Escalon Ca 95320,Alajandro 310-952-5020,12686 Locke Rd. Lockford Ca 95237,Other Kelloggs,1/1/2024- 12/31/2024,,4320.0,,,The Amount.,Written Agreement,15355 S Van Allen Rd Escalon 2024 Dairy AR,1,"(38.1302, -121.24717)","(38.154103443098, -121.161336517502)"
Antonio Brasil Dairy,,Azevedo Trucking,,Azevedo Trucking,Dos Palos 93620,Broker,07/09/2024,,7135.0,,,Tons Per Load X Loads,,15373 S Flanagan Rd Dos Palos 2024 Poultry AR,1,,"(36.993888, -120.626578)"
Antonio Brasil Dairy,,Azevedo Trucking,,Azevedo Trucking,Dos Palos 93620,Broker,11/07/2024,,4565.0,,,Tons Per Load X Loads,,15373 S Flanagan Rd Dos Palos 2024 Poultry AR,2,,"(36.993888, -120.626578)"
O'Banion Ranches,,Azevedo Brothers Trucking,,Curran Ranch,15735 Indiana Rd Dos Palos 93620,Farmer,10/15/2024,,100.0,,,Average Load Weight Multiplied By Total Loads,,15775 S Indiana Ave Dos Palos 2024 Dairy AR,1,,"(37.05783609506, -120.598587858567)"
O'Banion Ranches,,Azevedo Brothers Trucking,,Curran Ranch,15735 Indiana Rd Dos Palos 93620,Farmer,10/15/2024,,100.0,,,Average Load Weight Multiplied By Total Tons,,15775 S Indiana Ave Dos Palos 2024 Dairy AR,2,,"(37.05783609506, -120.598587858567)"
Dcb Farming Llc,,Kenneth R Stone Spreading Services,,Rogero Ranch,Address City Zip Code,Farmer,04/15/2024,,1800.0,,,Number Of Loads Multiplied By Load Weight,,1581 E Roosevelt Rd El Nido 2024 Dairy AR,1,,"(38.2964476, -76.5088295)"
Manuel Da Silva Dairy,,Manuel Da Silva Dairy,15834 Steinegul Rd Escalon 95320,Jerry Dasilva 18173 Steinegul Rd Escala 95320 209652 8012,26000 Edwards Rd-Escala 953200207020100,,9/15/24,,350.0,,,The,Written Agreement,15836 Steingul Rd Escalon 2024 Dairy AR,1,,"(34.92609, -117.93507)"
Pires Dairy Farms,Contact Person Name And Phone,Gibs Hinds Manure Spreading,19075 W Third Ave. Stevinson Ca 95374,Gibs Hinds Manure Spreading 19075 W. Third Ave. Stevinson Ca. 95374 209-634-8934,19075 W. Third Ave. Stevinson Ca. 95374,Composting Facility,10/17/24,,22000.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,1622 Kniebes Rd Gustine 2024 Dairy AR,1,"(38.1302, -121.24717)","(37.325729172363, -120.834534746052)"
M & M Cardoso & Sons Dairy Ltd,,Cardoso Farm Services Inc.,,Joey Machado,Turlock 95380,Farmer,04/23/2024,,1300.0,,,Tons Per Load,,16489 August Ave Delhi 2024 Dairy AR,1,,"(37.493719, -120.852279)"
John Brasil Dairy #3,Contact Person Name And Phone,John Brasil Dairy #1,2613 S. Mitchell Road Turlock Ca 95380,Jb Farms 8400 W. Linwood Avenue Turlock 95380,9730 W. Bradbury Road Turlock 95380,Farmer,5/23/2024,,1000.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"1707 S Mitchell Rd, Turlock 2024 Dairy AR",1,"(38.1302, -121.24717)","(37.44895195004, -120.960190203488)"
Joe Gomes Dairy #1,Contact Person Name And Phone,Hinds Manure Spreading,19075 3Rd Ave Stevinson Ca 95374,Hinds Compost 19075 3Rd Ave Stevinson 95374,19075 3Rd Ave Stevinson 95374,Composting Facility,10/6/24,,1000.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,17265 Swanson Rd Delhi 2024 Dairy AR,1,"(38.1302, -121.24717)","(37.325729172363, -120.834534746052)"
Nunes Dairy,Contact Person Name And Phone,Alp Custom Spreading Inc.,Po Box 218 Newman Ca 95341,Rossow Farms 7745 E. Sandy Mush Merced 95340,Mariposa Road Merced 95340,Farmer,5/11/2024,,1200.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"1730 S. Healy Rd, Merced 2024 Dairy AR",1,"(38.1302, -121.24717)","(37.323633906117, -120.462489011913)"
Nunes Dairy,Contact Person Name And Phone,Alp Custom Spreading Inc.,Po Box 218 Newman Ca 95341,Rossow Farms 7745 E. Sandy Mush Merced 95340,Mariposa Road Merced 95340,Farmer,10/13/2024,,1300.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"1730 S. Healy Rd, Merced 2024 Dairy AR",2,"(38.1302, -121.24717)","(37.323633906117, -120.462489011913)"
,17399 E. Avena Rd Escala 95320,Faria Agserviceinc.,2402 Viñe Ave Escalon Ca 95320,Frank Bellino Riverrd Escalon 95320,,,12/18 $ 12/19,,720.0,,,The,Written Agreement,17399 E Avena Rd Escalon 2024 Dairy AR,1,"(37.843588631527, -121.096426807855)",
Manuel & Jeannette Borges Dairy #2,,Sousa'S Custom Harvesting,20178 Rd. Stockton 95215,Same,Oakwood Rd. Stockton 95215 185-080-51 185-080-10 & 185-080-14,,May 23 - June 14 2024,,630.0,,,Hauler'S Estimation,,17463 E Gawne Rd Stockton 2024 Dairy AR,1,,"(37.9624595, -121.2168037)"
Manuel & Jeannette Borges Dairy #2,,Sousa'S Custom Harvesting,20178 Gawne Rd. Stockton 95215,Same,Mariposa Rd. Stockton 95215 181-090-29,,May 29 2024,,199.5,,,Hauler'S Estimation,,17463 E Gawne Rd Stockton 2024 Dairy AR,2,,"(37.905504156124, -121.148814604082)"
Manuel & Jeannette Borges Dairy #2,,Sousa'S Custom Harvesting,20178 Rd. Stockton 95215,Thomas Pettitt 13019 E. Mariposa Rd. Stockton 95215 209-678-3227,185-020-03 185-020-04,,October 22-23 2024,,819.0,,,Hauler'S Estimation,,17463 E Gawne Rd Stockton 2024 Dairy AR,3,,"(None, None)"
Manuel & Jeannette Borges Dairy #2,,Sousa'S Custom Harvesting,20178 Gawne Rd. Stockton 95215,Thomas Pettitt 13019 Mariposa Rd. Stockton 95215 209-678-3227,Kaiser Rd. Stockton 95215 201-120-09,,May 28-30 2024,,441.0,,,Hauler'S Estimation,,17463 E Gawne Rd Stockton 2024 Dairy AR,4,,"(37.925767971536, -121.165777457448)"
Manuel & Jeannette Borges Dairy #2,,Sousa'S Custom Harvesting,20178 Gawne Rd. Stockton 95215,Ryan Rissetto 20700 Gawne Rd. Stockton 95215 209-992-8216,Gawne Rd. Stockton 185-100-13,,October 2-23 2024,,535.5,,,Hauler'S Estimation,,17463 E Gawne Rd Stockton 2024 Dairy AR,5,,"(37.892645934505, -121.063268063921)"
