Source PDF,Street no,Rest of PDF,County,Manifest Number,Start Page,End Page,Manifest Type,DONE,Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Assessor Parcel Number,Destination Type (Standardized),Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,First Haul Date,Last Haul Date,Manure Number of Hauls,Manure Mass per Haul (tons),Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Is Pipeline,Parameter Template
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,1,18,19,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming (559) 284-4830,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,,Farmer,1423800,,,,,Runtime Multiplied By The Gallons Per Minute.,,12/31/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,2,20,21,manure,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles (559) 259-1505,9685 S. Hughes Fresno CA 93725,Fresno 93706,S. Hughes Fresno,,Broker,,770,85.9,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,,12/13/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,3,22,23,manure,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles (559) 259-1505,9685 S. Hughes Fresno CA 93725,Fresno 93706,S. Hughes Fresno,,Broker,,462,79.3,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,,11/22/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,4,24,25,manure,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles (559) 259-1505,9685 S. Hughes Fresno CA 93725,Fresno 93706,S. Hughes Fresno,,Broker,,770,85.9,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,,10/22/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,5,26,27,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming (559) 284-4830,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,S. Brawley & Lincoln Avenue Fresno,,Farmer,600000,,,,,Tank Capacity Multiplied By The Number Of Tanks Applied,,10/8/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,6,28,29,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming (559) 284-4830,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,,Farmer,762300,,,,,Runtime Multiplied By The Gallons Per Minute.,,9/30/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,7,30,31,manure,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles (559) 259-1505,9685 S. Hughes Fresno CA 93725,Fresno 93706,S. Hughes Fresno,,Broker,,3483,85.9,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,,8/15/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,8,32,33,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming (559) 284-4830,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,,Farmer,1272600,,,,,Runtime Multiplied By The Gallons Per Minute.,,6/30/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,9,34,35,wastewater,x,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming (559) 284-4830,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,,Farmer,1627200,,,,,Runtime Multiplied By The Gallons Per Minute.,,3/31/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,1,189,190,manure,x,Fred Rau Dairy Inc.,10255 W. Manning Fresno Fresno County 93706 Zip Code,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,Hughes Ave Fresno,,Fenderup,,675,41.73,,Truck Loads,,,8/24/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,2,191,192,manure,x,Fred Bau Dairy Inc.,10255 W. Manning Fresno Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,,,Fenderup,,675,13.3,,Weighed Averaged The Truck Loads,,,9/2/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,3,193,194,manure,x,Fred Rau Daily Ive.,W. Manning Fresno Fresno 93706,M. Avias Trucking Llc,9321 S. Ormus Ave Raisincity Ca 93652,,,,,,Fenderup,,562.5,133,,Process Wastewater Amount Hauled,,2/4/26,2/24/26,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,4,195,196,manure,x,Fred Rau Pairy,10255 W. Manning Ave Fresco Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,,,Fenderup,,337.5,38.8,,Weighed & Averaged The Truck Loads,,,9/7/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,5,197,198,manure,x,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,Valentine American Fresno,,Fenderup,,187.5,38.9,,Weighed & Average The Truck Loads.,,,9/9/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,6,199,200,manure,x,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,West & American Fresno,,Fenderup,,562.5,38.8,,Weighed & Averaged The Truck Loads,,,9/11/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,7,201,202,manure,x,Fred Rau Dairy Tuc.,10255 W. Manning Ave Fresno Fresno 93206,M. Arias Trucking Llc,9321 S. Ormus Ave Ralsin City Ca 93652,,,,Marks Ave Fresno,,Fenderup,,450,35.8,,Weighted & averaged truck loads,,,9/27/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,8,203,204,manure,x,Fred Rau Dairy Tuc.,,M. Arias Trucking Llc,9821 S. Ormus Ave Raisin City Ca 93652,,,,,,Fenderup,,4500,35.8,,Weighed & Averaged Truck Bades,,,9/28/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,9,205,206,manure,x,Fred Rau Dairy Juc.,9321 S. Ormus Ave. Raisin City Fresno 93652,M. Arias Trucking Llc,,,,,,,Fenderup,,450,46.1,,Weighed & Averaged Truck Loads,,,10/7/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,,2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,fresno_madera,10,207,208,manure,x,Fred Rau Dairy Juc.,10255 W. Manning Ave Fresno Fresno 93706,M. Arias Trucking Llc,9321 S. Ormus Ave Raisin City Ca 93652,,,,,,Fenderup,,675,12.2,,Weighed & Averaged Truck Loads,,,10/22/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,1,21,22,manure,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,Burrows Trucking,13265 W. Jensen Avenue Kerman Ca 93630,Burrow Trucking & Spreading (559) 846-9129,13265 W. Jensen Avenue Kerman CA 93630,Fresno 93706,W. Jensen Avenues Fresno,,Broker,,2452,64.8,,Averaged Scale Weighed Loads Multiplied By The Number Of Loads Exported.,,,2/9/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,2,23,24,wastewater,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,,Farmer,6300021,,,,,Run-Times Multiplied By The Gpm Of The Lagoon Pump.,,3/31/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,3,25,26,wastewater,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,,Farmer,4921891,,,,,Run-Times Multiplied By The Gpm Of The Lagoon Pump.,,6/30/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,4,27,28,wastewater,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,,Farmer,2953135,,,,,Run-Times Multiplied By The Gpm Of The Lagoon Pump.,,9/30/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,5,29,30,manure,x,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,Netto Ag Inc.,10044 Flint Avenue Hanford Ca 93230,Netto Ag Inc. (559) 585-2097,10044 Flint Avenue Hanford CA 93230,Hanford 93230,Flint Avenue Kings,,Broker,,2140,75.7,,Averaged Scale Weighed Loads Multiplied By The Number Of Loads Exported.,,,10/1/24,,,,,,,FALSE,R5-2007-0035_software
