Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Type (Standardized),Destination Assessor Parcel Number,Destination County,Destination Address Final,Destination Address Final Source,Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),Source PDF,Manifest Number,Start Page,End Page,Manifest Type,Origin Latitude,Origin Longitude,Origin City,Origin Zip,Origin County,Destination City,Destination Zip,Estimated Number of Hauls (Based on Average),Estimated Number of 10k-gallon Hauls (Based on Distribution),Estimated Number of 20k-gallon Hauls (Based on Distribution)
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,36.64854901221,-119.862485015701,,2024-06-30,False,,,,,1272600.0,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,8,32,33,wastewater,36.645105516838,-119.863987304207,Fresno,93706,Fresno,,,146,127,0
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,36.64854901221,-119.862485015701,,2024-03-31,False,,,,,1627200.0,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,9,34,35,wastewater,36.645105516838,-119.863987304207,Fresno,93706,Fresno,,,186,163,0
G & A Dairy #2,6043 S Madera Kerman Fresno 93630,36.646395868923,-120.063654882863,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 S. Madera And Lincoln Avenues Fresno,Destination Address,36.64744700149,-120.061134025483,,2024-03-31,False,,,,,6300021.0,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,2,23,24,wastewater,36.646395868923,-120.063654882863,Kerman,93630,Fresno,,,722,630,0
G & A Dairy #2,6043 S Madera Kerman Fresno 93630,36.646395868923,-120.063654882863,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 S. Madera And Lincoln Avenues Fresno,Destination Address,36.64744700149,-120.061134025483,,2024-06-30,False,,,,,4921891.0,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,3,25,26,wastewater,36.646395868923,-120.063654882863,Kerman,93630,Fresno,,,564,492,0
G & A Dairy #2,6043 S Madera Kerman Fresno 93630,36.646395868923,-120.063654882863,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 S. Madera And Lincoln Avenues Fresno,Destination Address,36.64744700149,-120.061134025483,,2024-09-30,False,,,,,2953135.0,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,4,27,28,wastewater,36.646395868923,-120.063654882863,Kerman,93630,Fresno,,,338,295,0
G & A Dairy #2,6043 S Madera Kerman Fresno 93630,36.646395868923,-120.063654882863,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Degroot Generations Farming (559) 352-6340,P.O. Box 503 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 S. Madera And Lincoln Avenues Fresno,Destination Address,36.64744700149,-120.061134025483,,2024-10-23,False,,,,,600000.0,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,6,31,32,wastewater,36.646395868923,-120.063654882863,Kerman,93630,Fresno,,,69,60,0
G & A Dairy #2,6043 S Madera Kerman Fresno 93630,36.646395868923,-120.063654882863,G&A Dairy #2,9256 S. Valentine Avenue Fresno Ca 93706,Haupt & Sons Farming (559) 246-2633,P.O. Box 502 Kerman CA 93630,Fresno 93706,S. Madera And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 S. Madera And Lincoln Avenues Fresno,Destination Address,36.64744700149,-120.061134025483,,2024-12-31,False,,,,,5512518.0,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,7,33,34,wastewater,36.646395868923,-120.063654882863,Kerman,93630,Fresno,,,632,551,0
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,37.062726047385,-120.34327047893,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Silveira Dairy Heifers (559) 978-6087,11277 Ave 21 1/2 Chowchilla CA 93610,Chowchilla 93610,10221 Ave 21 1/2 Madera,Farmer,,,Chowchilla 93610 10221 Ave 21 1/2 Madera,Destination Address,37.062462017435,-120.361137008463,,2024-01-01,True,,,,,3030000.0,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,1,52,53,wastewater,37.062726047385,-120.34327047893,Chowchilla,93610,Madera,,,347,303,0
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,37.062726047385,-120.34327047893,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Silveira Dairy Heifers (559) 978-6087,11277 Ave 21 1/2 Chowchilla CA 93610,Chowchilla 93610,10221 Ave 21 1/2 Madera,Farmer,,,Chowchilla 93610 10221 Ave 21 1/2 Madera,Destination Address,37.062462017435,-120.361137008463,,2024-04-04,True,,,,,3600000.0,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,2,54,55,wastewater,37.062726047385,-120.34327047893,Chowchilla,93610,Madera,,,412,360,0
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,37.062726047385,-120.34327047893,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Silveira Dairy Heifers (559) 978-6087,11277 Ave 21 1/2 Chowchilla CA 93610,Chowchilla 93610,10221 Ave 21 1/2 Madera,Farmer,,,Chowchilla 93610 10221 Ave 21 1/2 Madera,Destination Address,37.062462017435,-120.361137008463,,2024-05-20,True,,,,,3960000.0,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,3,56,57,wastewater,37.062726047385,-120.34327047893,Chowchilla,93610,Madera,,,454,396,0
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,37.062726047385,-120.34327047893,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Silveira Dairy Heifers (559) 978-6087,11277 Ave 21 1/2 Chowchilla CA 93610,Chowchilla 93610,10221 Ave 21 1/2 Madera,Farmer,,,Chowchilla 93610 10221 Ave 21 1/2 Madera,Destination Address,37.062462017435,-120.361137008463,,2024-06-30,True,,,,,3720000.0,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,4,58,59,wastewater,37.062726047385,-120.34327047893,Chowchilla,93610,Madera,,,426,372,0
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,37.062726047385,-120.34327047893,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Silveira Dairy Heifers (559) 978-6087,11277 Ave 21 1/2 Chowchilla CA 93610,Chowchilla 93610,10221 Ave 21 1/2 Madera,Farmer,,,Chowchilla 93610 10221 Ave 21 1/2 Madera,Destination Address,37.062462017435,-120.361137008463,,2024-07-13,True,,,,,2520000.0,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,5,60,61,wastewater,37.062726047385,-120.34327047893,Chowchilla,93610,Madera,,,289,252,0
Vlot Calf Ranch,20330 Road 4 Chowchilla Madera 93610,37.045743768393,-120.473613625191,Vlot Calf Ranch,20330 Road 4 Chowchilla Ca 93610,Pistoresi Ag Services Inc.,29808 Avenue 12 Madera CA 93638,29808 Avenue 12 Madera 93638,Madera,Farmer,,Madera,29808 Avenue 12 Madera 93638 Madera,Destination Address,36.922218276617,-120.003269892187,,2024-03-09,False,,,,,9984000.0,2024AR_Vlot Calf Ranch_20330 Road 4_Madera,1,317,318,wastewater,37.045743768393,-120.473613625191,Chowchilla,93610,Madera,Madera,93638,1144,998,0
Vlot Calf Ranch,20330 Road 4 Chowchilla Madera 93610,37.045743768393,-120.473613625191,Vlot Calf Ranch,20330 Road 4 Chowchilla Ca 93610,Pistoresi Ag Services Inc.,29808 Avenue 12 Madera CA 93638,29808 Avenue 12 Madera 93638,Madera,Farmer,,Madera,29808 Avenue 12 Madera 93638 Madera,Destination Address,36.922218276617,-120.003269892187,,2024-03-26,False,,,,,10000000.0,2024AR_Vlot Calf Ranch_20330 Road 4_Madera,2,319,320,wastewater,37.045743768393,-120.473613625191,Chowchilla,93610,Madera,Madera,93638,1146,1000,0
Vlot Calf Ranch,20330 Road 4 Chowchilla Madera 93610,37.045743768393,-120.473613625191,Vlot Calf Ranch,20330 Road 4 Chowchilla Ca 93610,Pistoresi Ag Services Inc.,29808 Avenue 12 Madera CA 93638,29808 Avenue 12 Madera 93638,Madera,Farmer,,Madera,29808 Avenue 12 Madera 93638 Madera,Destination Address,36.922218276617,-120.003269892187,,2024-03-26,False,,,,,7472000.0,2024AR_Vlot Calf Ranch_20330 Road 4_Madera,3,321,322,wastewater,37.045743768393,-120.473613625191,Chowchilla,93610,Madera,Madera,93638,856,747,0
G3 Dairy,5829 E. Panama Lane Bakersfield Ca 93311,35.295933384544,-118.939431025525,Cabrera Brothers Composting,10909 Glen Cloe Place Lamont Ca 93241,Panama Ranch,,"6219 E. Panam Lane Bakersfield, CA",,Composting Facility,,Kern,"6219 E. Panam Lane Bakersfield, CA",Destination Address,35.295475816957,-118.933707028131,2024-02-01,2024-02-29,False,,,,,,2024AR G3 Dairy,1b,24,24,wastewater,35.295933384544,-118.939431025525,Bakersfield,93307,Kern,Bakersfield,93307,,,
G3 Dairy,5829 E. Panama Lane Bakersfield Ca 93311,35.295933384544,-118.939431025525,Cabrera Brothers Composting,10909 Glen Cloe Place Lamont Ca 93241,Panama Ranch,,"6219 E. Panam Lane Bakersfield, CA",,Composting Facility,,Kern,"6219 E. Panam Lane Bakersfield, CA",Destination Address,35.295475816957,-118.933707028131,2024-04-01,2024-04-30,False,,,,,,2024AR G3 Dairy,1d,24,24,wastewater,35.295933384544,-118.939431025525,Bakersfield,93307,Kern,Bakersfield,93307,,,
G3 Dairy,5829 E. Panama Lane Bakersfield Ca 93311,35.295933384544,-118.939431025525,Cabrera Brothers Composting,10909 Glen Cloe Place Lamont Ca 93241,Panama Ranch,,"6219 E. Panam Lane Bakersfield, CA",,Composting Facility,,Kern,"6219 E. Panam Lane Bakersfield, CA",Destination Address,35.295475816957,-118.933707028131,2024-07-01,2024-07-31,False,,,,,,2024AR G3 Dairy,1g,24,24,wastewater,35.295933384544,-118.939431025525,Bakersfield,93307,Kern,Bakersfield,93307,,,
G3 Dairy,5829 E. Panama Lane Bakersfield Ca 93311,35.295933384544,-118.939431025525,Cabrera Brothers Composting,10909 Glen Cloe Place Lamont Ca 93241,Panama Ranch,,"6219 E. Panam Lane Bakersfield, CA",,Composting Facility,,Kern,"6219 E. Panam Lane Bakersfield, CA",Destination Address,35.295475816957,-118.933707028131,2024-08-01,2024-08-31,False,,,,,,2024AR G3 Dairy,1h,24,24,wastewater,35.295933384544,-118.939431025525,Bakersfield,93307,Kern,Bakersfield,93307,,,
AJB Ranch Dairy,2874 Stockdale Hwy Wastewater Bakersfield Ca 93312 Rwqcd? No,35.353777906384,-119.136484752428,R & M Farm Service Inc.,2312 Alpine Meadows Ct. Wasco Ca 93280,Buttonwillow Land & Cattle,,7540 Tracy Ave Buttonwillow Ca,,Farmer,,Kern,7540 Tracy Ave Buttonwillow Ca,Destination Address,35.431147522959,-119.4247957782,2024-06-01,2024-06-30,False,,,,,,2024AR_AJB Ranch Dairy,1b,104,104,wastewater,35.353777906384,-119.136484752428,Bakersfield,93312,Kern,Buttonwillow,93206,,,
AJB Ranch Dairy,2874 Stockdale Hwy Wastewater Bakersfield Ca 93312 Rwqcd? No,35.353777906384,-119.136484752428,R & M Farm Service Inc.,2312 Alpine Meadows Ct. Wasco CA 93280,Grimmway Farms,,Po Box 81498  Bakersfield Ca,,Farmer,,,Po Box 81498  Bakersfield Ca,Destination Address,,,2024-09-01,2024-09-30,False,,,,,,2024AR_AJB Ranch Dairy,2b,106,106,wastewater,35.353777906384,-119.136484752428,Bakersfield,93312,Kern,,,,,
Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.208699842036,-119.052247067829,Brachena Ag Services Inc,9442 Bear Mountain Blvd. Bakersfield Ca 93311,American Ag Inc.,,Po Box 20370 Bakersfield Ca,,Farmer,,,Po Box 20370 Bakersfield Ca,Destination Address,,,2024-06-01,2024-06-30,False,,,,,,2024AR_Bear Mountain Dairy,2a,84,84,wastewater,35.208699842036,-119.052247067829,Bakersfield,93313,Kern,,,,,
Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.208699842036,-119.052247067829,Brachena Ag Services Inc,9442 Bear Mountain Blvd. Bakersfield Ca 93311,American Ag Inc.,,Po Box 20370 Bakersfield Ca,,Farmer,,,Po Box 20370 Bakersfield Ca,Destination Address,,,2024-08-01,2024-08-31,False,,,,,,2024AR_Bear Mountain Dairy,2b,84,84,wastewater,35.208699842036,-119.052247067829,Bakersfield,93313,Kern,,,,,
Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.208699842036,-119.052247067829,Brachena Ag Services Inc,9442 Bear Mountain Blvd. Bakersfield Ca 93311,Kirschenman Enterprises,,"Po Box 27 Edison, CA",,Farmer,,,"Po Box 27 Edison, CA",Destination Address,,,2024-11-01,2024-11-30,False,,,,,,2024AR_Bear Mountain Dairy,3b,86,86,wastewater,35.208699842036,-119.052247067829,Bakersfield,93313,Kern,,,,,
Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.208699842036,-119.052247067829,Brachena Ag Services Inc,9442 Bear Mountain Blvd. Bakersfield Ca 93311,Ag Now Corp.,,9442 Bear Mountain Blvd. Bakersfield Ca,,Farmer,,Kern,9442 Bear Mountain Blvd. Bakersfield Ca,Destination Address,35.210777230193,-119.105872241364,2024-08-01,2024-08-31,False,,,,,,2024AR_Bear Mountain Dairy,4a,88,88,wastewater,35.208699842036,-119.052247067829,Bakersfield,93313,Kern,Bakersfield,93311,,,
Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.208699842036,-119.052247067829,Brachena Ag Services Inc,9442 Bear Mountain Blvd. Bakersfield Ca 93311,Ag Now Corp.,,9442 Bear Mountain Blvd. Bakersfield Ca,,Farmer,,Kern,9442 Bear Mountain Blvd. Bakersfield Ca,Destination Address,35.210777230193,-119.105872241364,2024-09-01,2024-09-30,False,,,,,,2024AR_Bear Mountain Dairy,4b,88,88,wastewater,35.208699842036,-119.052247067829,Bakersfield,93313,Kern,Bakersfield,93311,,,
Solo Dairy,11495 Jumper Ave Wasco 93280,35.730303011709,-119.419379979102,,,Harry & Jacob Samaria 13630 Mencham Rd Bakersfield,,,,,,,,,,,2024-01-01,2024-12-31,False,,,,,13507200.0,2024AR_Solo Dairy_11495 Jumper Ave_Kern,1,70,70,both,35.730303011709,-119.419379979102,Wasco,93280,Kern,,,1547,1351,0
Diamond D Dairy,9423 Idaho Ave Hanford 93230,36.269168693698,-119.626552462404,,,Alcala Farms,,8265 Hanford-Armona Rd Hanford 93230,,,016-270-066,Kings,016-270-066,Destination Assessor Parcel Number,39.760802,-121.809471,2024-01-01,2024-12-31,False,,,,,7000000.0,2024AR_Diamond D LLC Dairy_9423 Idaho Ave_Kings,2,68,69,wastewater,36.269168693698,-119.626552462404,Hanford,93230,Kings,Hanford,93230,802,700,0
Dover Dairy,4265 Dover AVE Hanford Kings 93230,,,Netto Ag Inc./Frank Netto,10044 Flint Ave Hanford CA 93230,Dias Ranch,,,,Farmer,,,,,,,2024-10-16,2024-10-29,False,,,,,2216000.0,2024AR_Dover Dairy_4265 Dover Ave_Kings,1,137,138,wastewater,,,,,,,,254,222,0
Flatland Farms LLC,8431 15th Ave Hanford 93230,36.350695065386,-119.726593410469,Dan & Steve Bettencourt Farms,6095 14Th Ave Hanford 93230,Dan & Steve Bettencourt Farms 6095 14Th Ave Hanford 93230,Dan & Steve Bettencourt Farms 6095 14Th Ave Hanford 93230,15Th & Fargo Hanford 93230,,Farmer,,Kings,15Th & Fargo Hanford 93230,Destination Address,36.357206002044,-119.726874036587,2024-01-01,2024-12-31,False,,,,,505000.0,2024AR_Flatland Farms LLC_8483 15th Ave_Kings,2,51,52,wastewater,36.350695065386,-119.726593410469,Hanford,93230,Kings,Hanford,93230,58,50,0
Flatland Farms LLC,8431 15th Ave Hanford 93230,36.350695065386,-119.726593410469,Pat J. Duarte Farm,1728 Mckinley Ave Hanford 93230,Joe Duarte 1728 Mckinley Ave Hanford 93230,Joe Duarte 1728 Mckinley Ave Hanford 93230,,,Farmer,005-080-007,,005-080-007,Destination Assessor Parcel Number,37.802035,-121.702086,2024-01-01,2024-12-31,False,,,,,525000.0,2024AR_Flatland Farms LLC_8483 15th Ave_Kings,3,53,54,wastewater,36.350695065386,-119.726593410469,Hanford,93230,Kings,,,60,52,0
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,Flint Dairy,6551 Flint Ave Hanford Ca 93230,Wilenburg West Feedlot,7442 7Th Ave Hanford CA 93230,7442 7Th Ave Hanford 93230,Kings,Farmer,,Kings,7442 7Th Ave Hanford 93230 Kings,Destination Address,36.360022531059,-119.590966841015,,2024-01-01,False,,,,,1629000.0,2024AR_Flint Dairy_6511 Flint Ave_Kings,13,174,175,wastewater,36.369763853201,-119.575398880791,Hanford,93230,Kings,Hanford,93230,187,163,0
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,Flint Dairy,6551 Flint Ave Hanford Ca 93230,Wilenburg West Feedlot,7442 7Th Ave Hanford CA 93230,7442 7Th Ave Hanford 93230,Kings,Farmer,,Kings,7442 7Th Ave Hanford 93230 Kings,Destination Address,36.360022531059,-119.590966841015,,2024-03-25,False,,,,,981000.0,2024AR_Flint Dairy_6511 Flint Ave_Kings,14,176,177,wastewater,36.369763853201,-119.575398880791,Hanford,93230,Kings,Hanford,93230,112,98,0
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,Flint Dairy,6551 Flint Ave Hanford Ca 93230,Wilenburg West Feedlot,7442 7Th Ave Hanford CA 93230,7442 7Th Ave Hanford 93230,Kings,Farmer,,Kings,7442 7Th Ave Hanford 93230 Kings,Destination Address,36.360022531059,-119.590966841015,,2024-06-27,False,,,,,2481000.0,2024AR_Flint Dairy_6511 Flint Ave_Kings,15,178,179,wastewater,36.369763853201,-119.575398880791,Hanford,93230,Kings,Hanford,93230,284,248,0
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,Flint Dairy,6551 Flint Ave Hanford Ca 93230,Wilenburg West Feedlot,7442 7Th Ave Hanford CA 93230,7442 7Th Ave Hanford 93230,Kings,Farmer,,Kings,7442 7Th Ave Hanford 93230 Kings,Destination Address,36.360022531059,-119.590966841015,,2024-08-02,False,,,,,2172000.0,2024AR_Flint Dairy_6511 Flint Ave_Kings,16,180,181,wastewater,36.369763853201,-119.575398880791,Hanford,93230,Kings,Hanford,93230,249,217,0
Jelle Van Der Hoek,337 Gates Rd Modesto Stanislaus 95358,37.641822475773,-121.159411948714,Pipeline,"337 Gates Rd Modesto, CA 95385",Dave Wheeler,5301 Woodland Ave Modesto CA 95358,,,Farmer,x012-x025-x013-xxxx,,,,,,,2024-08-25,True,,,71.0,1000.0,4260000.0,337 N Gates Rd MOdesto 2024 Dairy AR,1,33,34,wastewater,37.641822475773,-121.159411948714,Modesto,95358,Stanislaus,,,488,426,0
Jelle Van Der Hoek,337 Gates Rd Modesto Stanislaus 95358,37.641822475773,-121.159411948714,Pipeline,"5301 Woodland Ave Modesto, CA 95358",Dave Wheeler,5301 Woodland Ave Modesto CA 95358,,,Farmer,x012-x025-x013-xxxx,,,,,,,2024-06-02,True,,,76.0,1000.0,4560000.0,337 N Gates Rd MOdesto 2024 Dairy AR,3,38,39,wastewater,37.641822475773,-121.159411948714,Modesto,95358,Stanislaus,,,522,456,0
