Dairy Name,Dairy Address,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,Estimated Total Manure (tons),USDA Nitrogen Estimate (lbs),UCCE Nitrogen Estimate (lbs),Wastewater to Milk Ratio,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Estimated Milk Production (lb per cow per day),Estimated Milk Production (kg per cow),Estimated Milk Production (L per cow),Estimated Annual Milk Production (L),Milk Production Discrepancy (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted-for N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted-for P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted-for K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted-for Salt (lbs),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),Milk Production Source,Calculated Manure Factor,Nitrogen Discrepancy,Wastewater Ratio Discrepancy,Manure Factor Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation
MESQUITE CATTLE FEEDERS INC,1504 E. HWY 78 Srawiey CA 92227 (Feedyard Location),0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22.2025_MesquiteCattleFeeders_2024 Annual Report_jf.lr.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Butterspur 7A137777028,352 E. Shank Rd. Brawley CA 92227,0.0,7049.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30.2025_Superior Cattle Feeders_Butterspur7A137777028_Annual Report_Jan2024-Dec2024_jf.lr.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
__ OWB Ranches LLC,1870 Jeffrey Road El Centro CA 92243,0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25.2025_OWB Ranches LLC_2024 Annual Report_JFA.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
fan now - tAIBTTTT OL,- WY 9 . Rothe Sord KA. A awley CA 922TH,0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30.2025_Superior Cattle Feeders_Hannon7A137777022_Annual Report_Jan2024-Dec2024_jf.lr.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
KERSHAW YARD 7A137777020,5455 KERSHAW RD. BRAWLEY CA 92227,0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18.2025_Superior Cattle Feeders_KershawYard7A137777020_2024Report_Revised_LR.JFA.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
HANNON YARD 7A137777022,649 E. RUTHERFORD RD BRAWLEY CA 92227,0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18.2025_Superior Cattle Feeders_HannonYard7A137777022_2024Report_Revised_LR.JFA.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
University of California,1004 Holton Rd. Holtville CA 92250,0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18.2025_UC Desert Research and Extension Center_WDR100048262_LR.JFA.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Carneiro rer jn.,indicated above,0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23.2025_Cameiro Heifer Ranch_Jan2024-Dec2024 Annual Report_jf.lr.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
MAIN YARD 7A137777021,. 6050 US HIGHWAY 111 CALIPATRIA CA 92233,0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18.2025_Superior Cattle Feeders_Main Yard7A137777021_2024Report_Revised_LR.JFA.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Fairline 7A137777019,612 Simpson Rd. Calipatria CA 92233,0.0,0.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30.2025_Superior Cattle Feeders_Fairline7A137777019_Annual Report_Jan2024-Dec2024_jf.lr.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Schaffner Dairy Inc.,2805 Casey Road,2846.0,1087.0,0,0.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024 Annual Report CRWQCB.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Camciro Heifer Ranch,195 W Cary Rd Brawley CA 92227,0.0,0.0,0,7478.0,0.0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024 - Annual Report CHR.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
