Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted For N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted For P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted For K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,estimated_annual_milk_production_l,wastewater_estimated,Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,USDA N Estimate (lbs),UCCE N Estimate (lbs),Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content
Newhouse Dairy,16130 Bear Mountain Blvd Bakersfield Kern 93311,2967.0,641.0,926.0,1193.0,356.0,0.0,,106115.57,70.0,931937.97,1331339.96,219219.07,568207.88,1544409.9,90005630.22,287318.95,620041584.06,405237.47,3003844.67,117538.91,34054.0,71812.54,0.0,287318.95,287318.95,620041584.06,405237.47,4249.95,1.26,8637.08,194.95,0.0,2023AR_Newhouse Dairy_16130 Bear Mountain Blvd_Kern.pdf,31.75144,32.703983199999996,43068529.55574399,6083.0,404857.86,1219256.92,0.0,620075638.06,620260803.13,0.0,477050.00999999995,973445.35,0.0,4249.95,4548254.57,0.0,340708212.6910902,7.910839218462485,43068529.55574399,44360585.44241631,7.910839218462485,0.0,23.971934840462172,19.871934840462174,2742026328.8,234488.95599999998,-2741094390.8300004,-99.96601280008834,297.4336300938625,,,,,
Panama Ranch,6219 E. Panama Lane Buttonwillow Kern 93307,0.0,105.0,0.0,0.0,0.0,0.0,,1534.11,70.0,13413.75,19162.5,2529.45,0.0,24144.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023AR_Panama Ranch_6219 E Panama Lane_Kern.pdf,31.75144,32.703983199999996,1253380.1561399999,105.0,0.0,13413.75,0.0,0.0,2529.45,0.0,0.0,0.0,0.0,0.0,24144.75,0.0,0.0,0.0,1253380.1561399999,1290981.5608241998,0.0,0.0,14.610571428571427,10.510571428571428,39641402.4,5562.0599999999995,-39627988.65,-99.96616227179692,141.16514384958094,,,,,
,17661 Bear Mountain Blvd,4126.0,469.0,0.0,0.0,0.0,0.0,,116587.93,78.0,1064014.17,1520020.25,254876.6,811853.33,2050573.65,10082983.65,55895.77,34118787.39,56494.54,542211.55,13996.83,550.11,10997.75,0.0,55895.77,55895.77,34118787.39,56494.54,1959.97,1.03,2487.66,274.25,0.0,2023ARTrilogy Dairy_17661 Bear Mountain Blvd_Kern.pdf,35.380176,36.44158128,61118909.083284,4595.0,69892.59999999999,1119909.94,0.0,34119337.5,34373663.99,0.0,67492.29000000001,868347.87,0.0,1959.97,2592785.2,0.0,38168227.138546504,0.624491302463144,61118909.083284,62952476.35578252,0.624491302463144,0.0,25.37278128400435,21.272781284004353,3012632111.2,243406.34,-3011568097.0299997,-99.96468157641803,337.13494480053396,,,,,
Ansonea Dairy,5250 DiGiorgio Rd. Bakersfield,1528.0,332.0,389.0,394.0,376.0,0.0,,53211.53,70.0,466599.76,666571.09,108688.07,292626.1,795802.2,5835673.42,25559.52,26674263.7,48052.05,367978.7,55571.91,14938.84,108272.32,3500.2,25559.52,25559.52,26674263.7,48052.05,472.23,0.52,1226.35,266.55,0.0,2023AR_Ansonea Dairy_5250 DiGiorgio Rd_Kern.pdf,31.75144,32.703983199999996,22202734.19448,3019.0,81131.43000000001,492159.28,0.0,26689202.54,26782951.77,0.0,156324.37,340678.14999999997,0.0,3972.43,1163780.9,0.0,22090416.5208022,0.9949412683728961,22202734.19448,22868816.2203144,0.9949412683728961,0.0,24.271822106024363,20.171822106024365,1374985935.2,116131.42,-1374519335.44,-99.96606512488201,301.7859766116698,,,,,
VP Legacy Farms,28349 Los Angeles ST Shafter Kern 93263,2545.0,260.0,703.0,0.0,0.0,0.0,,84838.33,75.0,0.0,0.0,0.0,0.0,0.0,56176657.0,0.0,0.0,189127.45,1673060.06,64795.5,19438.65,71793.41,0.0,152898.59,152898.59,21783.39,189127.45,1673060.06,1.3,0.97,1.16,4.42,2023AR_VP Legacy Farms_28349 Los Angeles St_Kern.pdf,34.0194,35.039981999999995,35874809.57115,3508.0,217694.09,0.0,0.0,41222.04,0.0,0.0,260920.86000000002,189127.45,0.0,1673060.06,1673060.06,0.0,212651679.17437002,5.927604403101317,35874809.57115,36951053.858284496,5.927604403101317,0.0,27.705069932297892,23.605069932297894,2192222447.2,162210.6,-2192222447.2,-100.0,-100.0,,,,,
AJB Ranch Dairy,2874 Stockdale Hwy. Bakersfield Kern 93312,3995.0,534.0,983.0,788.0,772.0,0.0,,133754.59,78.0,1185699.86,1693856.94,279940.74,786077.08,2003839.05,55324631.18,73160.56,211342999.89,128724.27,860343.0,81421.1,49668.71,140816.68,2186.88,73160.56,73160.56,211342999.89,128724.27,1013.89,0.04,3656.17,0.62,0.0,2023AR_AJB Ranch Dairy_2874 Stockdale Hwy_Kern.pdf,35.380176,36.44158128,60241031.390248805,7072.0,154581.66,1258860.4200000002,0.0,211392668.6,211622940.63,0.0,269540.95,914801.35,0.0,3200.77,2864182.05,0.0,209426412.1150838,3.47647454371081,60241031.390248805,62048262.33195627,3.47647454371081,0.0,25.37521025940013,21.275210259400133,3456218605.6,279219.28799999994,-3455032905.74,-99.96569372498374,324.6482642703395,,,,,
Lakeview Dairy,17702 Bear Mountain BLVD Bakersfield Kern 93311,3685.0,548.0,710.0,1302.0,1403.0,1400.0,,132215.04,70.0,1169040.44,1670057.77,264869.0,705711.5,0.0,58548934.42,222629.01,203428924.62,167765.43,1614987.7,14316.08,4600.07,17439.33,0.0,222629.01,222629.01,203428924.62,167765.43,244.57,1.05,75.86,242.19,52.21,2023AR_Lakeview Dairy_17702 Bear Mountain Blvd_Kern.pdf,31.75144,32.703983199999996,50529125.723244,9048.0,236945.09,1391669.45,0.0,203433524.69,203693793.62,0.0,185204.76,873476.9299999999,0.0,244.57,1614987.7,0.0,221631721.8428122,4.386217229578128,50529125.723244,52044999.49494132,4.386217229578128,0.0,24.894908977349964,20.794908977349962,3416436633.6000004,281330.41599999997,-3415267593.1600003,-99.96578187844895,315.5400104338523,,,,,
Rosa Dairy,4714 E Bear Mountain Blvd Bakersfield Kern 93307,0.0,76.0,145.0,206.0,0.0,0.0,,4244.87,70.0,33025.93,47179.9,7467.9,0.0,17476.2,0.0,0.0,0.0,0.0,0.0,22371.97,9665.5,28282.83,2256.8,0.0,0.0,0.0,0.0,0.0,1.39,1.4,0.57,0.0,2023AR_Rosa Dairy_4714 E Bear Mountain Blvd_Kern.pdf,31.75144,32.703983199999996,907208.4939679999,427.0,22371.97,33025.93,0.0,9665.5,7467.9,0.0,28282.83,0.0,0.0,2256.8,17476.2,0.0,0.0,0.0,907208.4939679999,934424.74878704,0.0,0.0,20.765979000119316,16.665979000119314,109687440.8,10828.251999999999,-109654414.86999999,-99.96989087377813,204.9977965049207,,,,,
_ Bidart 2,20400 Old River Rd. Bakersfield Kern 93311,7870.0,810.0,1290.0,1330.0,1295.0,1325.0,,253739.08,75.0,2261117.17,3230167.38,529001.43,1533030.56,3891849.0,236526594.0,855224.56,115193.83,1138267.24,8935046.12,452787.49,120030.0,341093.42,0.0,855224.56,855224.56,115193.83,1138267.24,8935046.12,1.04,0.89,0.91,1.86,2023AR_Bidart Dairy 2_20400 Old River Rd_Kern.pdf,34.0194,35.039981999999995,111013670.9724,13920.0,1308012.05,3116341.73,0.0,235223.83000000002,644195.26,0.0,1479360.66,2671297.8,0.0,8935046.12,12826895.12,0.0,895350134.1935401,8.06522409673436,111013670.9724,114344081.10157199,8.06522409673436,0.0,25.48080307632017,21.38080307632017,6556617827.199999,527497.7599999999,-6554356710.029999,-99.96551397031836,328.6496249766066,,,,,
Western Sky Dairy,18501 Old River Road Bakersfield Kern 93311,4796.0,639.0,882.0,875.0,0.0,0.0,,156378.07,82.0,1386105.7,1980151.0,332155.43,956289.92,0.0,75115560.21,350901.52,0.0,470202.59,3009039.11,73960.42,18551.78,56682.99,0.0,350901.52,350901.52,318693168.89,470202.59,2686.9,1.21,3860.94,459.93,0.0,2023AR_Wester Sky Dairy_18501 Old River Rd_Kern.pdf,37.194544,38.31038032,75999174.719308,7192.0,424861.94,1737007.22,0.0,318711720.66999996,332155.43,0.0,526885.5800000001,1426492.51,0.0,2686.9,3009039.11,0.0,284343192.7745361,3.7413984273476215,75999174.719308,78279149.96088725,3.7413984273476215,0.0,25.729366627874313,21.62936662787431,4040809328.8,321953.48,-4039423223.1000004,-99.96569732478787,330.5298082194981,,,,,
H&P Dairy,5021 E Bear Mountain Blvd Bakersfield Kern 93307,2388.0,381.0,758.0,691.0,349.0,345.0,,83808.56,70.0,730375.57,1043393.68,170542.47,457324.03,1212000.75,18559988.78,21009.08,34945324.54,43671.11,207459.01,189654.47,43483.88,207493.68,3386.5,21009.08,21009.08,34945.0,324.54,43671.11,0.4,674.54,391.71,17.96,2023AR_H&P Dairy_5021 E Bear Mountain Blvd_Kern.pdf,31.75144,32.703983199999996,33053425.260491997,4912.0,210663.55,751384.6499999999,0.0,78428.88,35115867.01,0.0,207818.22,500995.14,0.0,47057.61,1419459.76,0.0,70257167.1276998,2.1255638885836317,33053425.260491997,34045028.018306755,2.1255638885836317,0.0,24.76790808309427,20.667908083094268,2165613190.3999996,179244.328,-2164882814.8299994,-99.96627396003876,307.4748574470931,,,,,
Poso Creek Family Dairy LLC,13437 Gun Club RD Wasco Kern 93280,5468.0,511.0,1744.0,1833.0,724.0,769.0,,187508.07,70.0,0.0,0.0,0.0,0.0,0.0,203156890.0,0.0,0.0,549185.96,3732953.52,156433.42,39509.51,184937.85,0.0,395905.24,395905.24,93180.63,549185.96,3732953.52,0.98,1.3,1.2,2.17,2023AR_Poso Creek Family Dairy_13437 Gun Club Rd_Kern.pdf,31.75144,32.703983199999996,71371047.176772,11049.0,552338.66,0.0,0.0,132690.14,0.0,0.0,734123.8099999999,549185.96,0.0,3732953.52,3732953.52,0.0,769032122.9749,10.775127357598652,71371047.176772,73512178.59207515,10.775127357598652,0.0,25.102383505464328,21.00238350546433,4845208528.8,395686.62799999997,-4845208528.8,-100.0,-100.0,,,,,
J&R Dairy,4403 Bear Mountain Blvd Bakersfield,2760.0,469.0,526.0,416.0,0.0,0.0,,86541.14,70.0,770446.16,1100637.37,183133.55,528565.47,1407392.55,19750490.11,55745.62,96816454.4,61076.84,544289.45,150770.06,53945.5,155637.08,7553.92,55745.62,55745.62,96816454.4,61076.84,316.16,1.09,2421.95,381.01,0.0,2023AR_J&R Dairy_4403 Bear Mountain Blvd_Kern.pdf,31.75144,32.703983199999996,38544424.039772,4171.0,206515.68,826191.78,0.0,96870399.9,96999587.95,0.0,216713.91999999998,589642.3099999999,0.0,7870.08,1951682.0,0.0,74763702.7672951,1.9396762211351326,38544424.039772,39700756.76096516,1.9396762211351326,0.0,24.216563995113262,20.11656399511326,2236223057.6,189302.54799999998,-2235452611.44,-99.96554698971637,306.9919650526839,,,,,
McFarland Dairy,31348 Hanawalt AVE,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023AR_McFarland Dairy_31348 Hanawalt Ave_Kern.pdf,0.453592,0.46719976,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25840.0,0.0,-25839.3,-99.99729102167181,0.0,,,,,
T&W Farms 2,5959 Houghton Rd Bakersfield Kern 93311,795.0,145.0,358.0,303.0,135.0,139.0,,29674.62,70.0,258873.99,369819.98,60237.19,152249.84,407668.5,19512021.0,50433.47,60667316.04,45300.61,615763.56,0.0,0.0,0.0,0.0,50433.47,50433.47,60667316.04,45300.61,4984.63,1.24,5793.62,233.41,0.0,2023AR_T&W Farms 2_5959 Houghton Rd_Kern.pdf,31.75144,32.703983199999996,11220736.63592,1875.0,50433.47,309307.45999999996,0.0,60667316.04,60727553.23,0.0,45300.61,197550.45,0.0,4984.63,1023432.06,0.0,73860999.41361,6.582544605597906,11220736.63592,11557358.7349976,6.582544605597906,0.0,24.41865368790767,20.31865368790767,766792180.8,64373.9,-766533306.81,-99.96623935448456,302.1412249374358,,,,,
,Faial Farms Dairy,1148.0,225.0,365.0,235.0,46.0,0.0,,38626.55,70.0,339758.62,485369.45,80403.42,219852.59,592274.55,3645407.56,5071.02,9925361.54,7381.81,55266.75,0.0,0.0,0.0,0.0,5071.02,5071.02,9925361.54,7381.81,609.34,0.94,2963.63,94.53,2.58,2023AR_Faial Farms Dairy_13714 Stine Rd_Kern.pdf,31.75144,32.703983199999996,16389437.660763998,2019.0,5071.02,344829.64,0.0,9925361.54,10005764.959999999,0.0,7381.81,227234.4,0.0,609.34,647541.3,0.0,13799362.2316996,0.8419667908884398,16389437.660763998,16881120.79058692,0.8419667908884398,0.0,24.169963982113156,20.06996398211316,998110052.0,84655.71599999999,-997770293.38,-99.96595980379928,301.3416176174094,,,,,
_B.V. Dairy,18904 Bear Mountain Blvd. Bakersfield Kern 93307,3410.0,560.0,375.0,0.0,0.0,0.0,,106518.5,75.0,0.0,0.0,0.0,0.0,0.0,67394107.0,0.0,0.0,300897.06,2274644.69,0.0,0.0,0.0,0.0,231130.34,231130.34,42840.42,300897.06,2274644.69,0.71,0.82,0.82,1.51,2023AR_BV Dairy_18904 Bear Mountain Blvd_Kern.pdf,34.0194,35.039981999999995,50774685.91709999,4345.0,231130.34,0.0,0.0,42840.42,0.0,0.0,300897.06,300897.06,0.0,2274644.69,2274644.69,0.0,255114326.57887,5.02443928447723,50774685.91709999,52297926.49461299,5.02443928447723,0.0,25.934609103595715,21.834609103595717,2752438040.0,217566.34,-2752438040.0,-100.0,-100.0,,,,,
Petrissans Dairy,5111 Bear Mountain BLVD Bakersfield Kern 93313,1000.0,90.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18335112.0,53950.1,12056.91,108328.61,532462.65,0.0,0.0,0.0,0.0,408329.0,408329.0,0.0,0.0,532463.0,0.0,0.0,0.0,0.0,2023AR_Petrissans Dairy_5111 Bear Mountain Blvd_Kern.pdf,0.0,0.0,0.0,1090.0,408329.0,53950.1,0.0,0.0,12056.91,0.0,0.0,108328.61,0.0,532463.0,532462.65,0.0,69405916.31592001,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,57739.48,0.0,0.0,-100.0,,,,,
— RichMar Farms,1129 E Shafter RD Bakersfield Kern 93307,2425.0,500.0,2225.0,2100.0,850.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472968.62,114350.84,906395.08,0.0,44395.69,44395.69,5687.37,90727.09,371837.34,0.54,0.25,0.74,0.56,2023AR_RichMar Farms Dairy_1129 East Shafter Rd_Kern.pdf,0.0,0.0,0.0,8100.0,517364.31,0.0,0.0,120038.20999999999,0.0,0.0,997122.1699999999,0.0,0.0,371837.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,244252.6,0.0,0.0,-100.0,,,,,
Peterson Dairy,30999 Peterson RD Mcfarland Kern 93250,778.0,73.0,173.0,203.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4897.97,35445.67,217128.4,0.0,0.0,0.0,0.0,22447.69,22447.69,4897.97,35445.67,217128.4,1.25,1.13,1.56,2.66,2023AR_Peterson Dairy_30999 Peterson Rd_Kern.pdf,0.0,0.0,0.0,1227.0,22447.69,22.0,0.0,4897.97,4897.97,0.0,35445.67,35445.67,0.0,217128.4,217128.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,52366.051999999996,0.0,0.0,-100.0,,,,,
Belonave Ranch LLC,14461 Taft Highway Bakersfield Kern 93311,5278.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602742.12,208627.72,633322.66,19645577.75,594533.24,594533.24,73342.79,310766.12,2625626.53,1.22,1.65,0.83,5.3,2023AR_Belonave Ranch_14461 Taft Hwy_Kern.pdf,0.0,0.0,0.0,5278.0,1197275.3599999999,0.0,0.0,281970.51,0.0,0.0,944088.78,0.0,0.0,22271204.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,279586.216,0.0,0.0,-100.0,,,,,
