Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Is Trucked,Manure Mass per Haul (tons),Manure Number of Hauls,Total Manure Amount (tons),Manure Solids (%),Number of 10-ton Hauls for Analysis,Number of 20-ton Hauls for Analysis
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,1,119,120,Frank S. Brown,22045 S. Valentine Riverdale 93656,36.41533328519,-119.864491475683,Thomas Bros 5810 23Rd Lave Riverdale 93656 906-1404,Destination Contact Address,Other,36.390592337768,-119.869776097997,,2024-01-02,False,,,,480.0,,30,9
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,2,121,122,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,36.41533328519,-119.864491475683,5810 23Rd Ave Riverdale 93656,Destination Contact Address,Other,36.390592337768,-119.869776097997,,2024-01-11,False,,,,530.0,,33,10
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,3,123,124,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,36.41533328519,-119.864491475683,5810 23Rd Ave Riverdale 93656,Destination Contact Address,Other,36.390592337768,-119.869776097997,,2024-01-29,False,,,,420.0,,26,8
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,4,125,126,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,36.41533328519,-119.864491475683,5810 23Rd Ave Riverdale 93656,Destination Contact Address,Other,36.390592337768,-119.869776097997,,2024-02-15,False,,,,620.0,,39,12
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,5,127,128,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,36.41533328519,-119.864491475683,5810 23Rd Ave Riverdale 93656,Destination Contact Address,Other,36.390592337768,-119.869776097997,,2024-03-04,False,,,,570.0,,36,11
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,6,129,130,Frank S. Brown,22045 S. Valentine Riverdale 93656,36.41533328519,-119.864491475683,5810 23Rd Ave Riverdale 93656,Destination Contact Address,Other,36.390592337768,-119.869776097997,,2024-04-23,False,,,,1019.2,,64,19
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,7,131,132,Frank S. Brown Co,22045 S. Valentine Riverdale 93656,36.41533328519,-119.864491475683,5810 23Rd Ave Riverdale 93656,Destination Contact Address,Other,36.390592337768,-119.869776097997,,2024-05-31,False,,,,1003.24,,63,19
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,2,20,21,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 S. Hughes Fresno,Destination Address,Broker,36.7284605,-119.8356313,,2024-12-13,False,,,,770.0,85.9,48,14
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,3,22,23,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 S. Hughes Fresno,Destination Address,Broker,36.7284605,-119.8356313,,2024-11-22,False,,,,462.0,79.3,29,9
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,4,24,25,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 S. Hughes Fresno,Destination Address,Broker,36.7284605,-119.8356313,,2024-10-22,False,,,,770.0,85.9,48,14
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,7,30,31,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 S. Hughes Fresno,Destination Address,Broker,36.7284605,-119.8356313,,2024-08-15,False,,,,3483.0,85.9,217,65
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,1,189,190,Fred Rau Dairy Inc.,10255 W. Manning Fresno Fresno County 93706 Zip Code,36.596834471727,-119.980291994279,,,Other,,,,2024-08-24,False,,,,675.0,41.73,42,13
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,2,191,192,Fred Bau Dairy Inc.,10255 W. Manning Fresno Fresno 93706,36.596834471727,-119.980291994279,,,Other,,,,2024-09-02,False,,,,675.0,13.3,42,13
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,3,193,194,Fred Rau Daily Ive.,W. Manning Fresno Fresno 93706,36.6045781,-119.9192415,,,Other,,,,2024-09-04,False,,,,562.5,133.0,35,11
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,4,195,196,Fred Rau Pairy,10255 W. Manning Ave Fresco Fresno 93706,36.596834471727,-119.980291994279,,,Other,,,,2024-09-07,False,,,,337.5,38.8,21,6
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,5,197,198,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93706,36.596834471727,-119.980291994279,,,Other,,,,2024-09-09,False,,,,187.5,38.9,12,4
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,6,199,200,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93706,36.596834471727,-119.980291994279,,,Other,,,,2024-09-11,False,,,,562.5,38.8,35,11
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,7,201,202,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93206,36.596834471727,-119.980291994279,,,Other,,,,2024-09-27,False,,,,450.0,35.8,28,8
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,8,203,204,Fred Rau Dairy Inc.,10255 W. Manning Ave Fresno Fresno 93206,36.596834471727,-119.980291994279,,,Other,,,,2024-09-28,False,,,,4500.0,35.8,281,85
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,9,205,206,Fred Rau Dairy Juc.,9321 S. Ormus Ave. Raisin City Fresno 93652,36.599430933874,-119.903739150569,,,Other,,,,2024-10-07,False,,,,450.0,46.1,28,8
2024AR_Fred Rau Dairy_10255 W Manning Ave_Fresno,10,207,208,Fred Rau Dairy Juc.,10255 W. Manning Ave Fresno Fresno 93706,36.596834471727,-119.980291994279,,,Other,,,,2024-10-22,False,,,,675.0,12.2,42,13
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,1,21,22,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,36.646395868923,-120.063654882863,Fresno 93706 W. Jensen Avenues Fresno,Destination Address,Broker,36.706049232897,-119.951035075938,,2024-02-09,False,,,,2452.0,64.8,153,46
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,5,29,30,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,36.646395868923,-120.063654882863,Hanford 93230 Flint Avenue Kings,Destination Address,Broker,36.371851115141,-119.654880000439,,2024-10-01,False,,,,2140.0,75.7,134,40
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,1,34,35,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Marks & Muscat,Destination Address,Other,36.684867505303,-119.844508683237,,2024-05-13,False,,,,1498.0,54.3,94,28
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,2,36,37,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Bottasso Muscat & Westlawn,Destination Address,Other,,,,2024-05-17,False,,,,1946.0,54.3,122,37
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,3,38,39,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Big De Muscat & Westlawn,Destination Address,Other,,,,2024-05-22,False,,,,1450.0,54.3,91,27
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,4,40,41,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Central Dickenson,Destination Address,Farmer,,,,2024-08-31,False,,,,750.0,54.3,47,14
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,5,42,43,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Central Rolinda,Destination Address,Farmer,,,,2024-09-17,False,,,,750.0,54.3,47,14
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,6,44,45,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Central Jameson,Destination Address,Farmer,,,,2024-09-23,False,,,,825.0,54.3,52,15
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,7,46,47,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Cornelia American,Destination Address,Farmer,,,,2024-09-24,False,,,,1725.0,54.3,108,32
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,8,48,49,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Central Grantland,Destination Address,Farmer,,,,2024-10-18,False,,,,750.0,54.3,47,14
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,9,50,51,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Central Muscat,Destination Address,Farmer,,,,2024-10-23,False,,,,1724.0,54.3,108,32
2024AR_G & A Dairy_2200 S Marks Ave_Fresno,10,52,53,G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,36.700648868783,-119.842021521107,Americo Foglio,Destination Address,Farmer,,,,,False,,,,1750.0,54.3,109,33
2024AR_Gerrit Visser & Sons Dairy_18565 S Marks Ave_Fresno,1,46,47,Gerrit Visser & Sour,18437 S. Marker Ave Riverdale 93656,,,13265 W Jenson Keman 93630,Destination Contact Address,Other,36.705418590785,-120.029543219148,2024-06-01,2024-10-01,False,,,,5420.0,81.0,338,102
2024AR_Golden Star Dairy_4109 E Conejo Ave_Fresno,1,35,36,Golden Star Dai,4109 E Conejo Ave Selma Fresno 93662,36.515847978422,-119.717459399122,Caruthers 93609 Hughes Fresno,Destination Address,Farmer,36.539831144575,-119.853247855475,,2024-10-15,False,,,,2800.0,52.4,175,53
2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,1,381,382,Lest Family Farms,14576 Avenue 14 Madera Madera 93637,36.948688536393,-120.277834888677,7792 Nickle Rd Dos Palos 93620 Merced,Destination Address,Farmer,37.174345672677,-120.682582827603,,2024-05-22,False,,,,1735.0,66.3,108,33
2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,2,383,384,Lest Family Farms,14576 Avenue 14 Madera Madera 93637,36.948688536393,-120.277834888677,7792 Nickle Rd Dos Palos 93620 Merced,Destination Address,Farmer,37.174345672677,-120.682582827603,,2024-08-29,False,,,,3313.0,73.7,207,62
2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,3,385,386,Lest Family Farms,14576 Avenue 14 Madera Madera 93637,36.948688536393,-120.277834888677,7792 Nickle Rd Dos Palos 93620 Merced,Destination Address,Farmer,37.174345672677,-120.682582827603,,2024-12-10,False,,,,1199.0,73.7,75,23
2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,1,70,71,J&D Wilson & Sons Dairy,11720 W Mt. Whitney Ave Riverdale Fresno 93656,36.431184511833,-120.008076326925,Riverdale 93656 Compost Yard Fresno,Destination Address,Broker,,,,2024-01-15,False,,,,6500.0,59.4,406,122
2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,2,72,73,J&D Wilson & Sons Dai,11720 W Mt. Whitney Ave Riverdale Fresno 93656,36.431184511833,-120.008076326925,Riverdale 93656 Compost Yard Fresno,Destination Address,Broker,,,,2024-04-01,False,,,,6500.0,59.4,406,122
2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,3,74,75,J&D Wilson & Sons Dai,11720 W Mt. Whitney Ave Riverdale Fresno 93656,36.431184511833,-120.008076326925,Riverdale 93656 Compost Yard Fresno,Destination Address,Broker,,,,2024-12-02,False,,,,4657.0,40.1,291,87
2024AR_J&D Wilson Dry Cows_430 W Mt. Whitney Ave_Fresno,1,68,69,J&D Wilson Dry Cows,430 W Mt. Whitney Ave Riverdale Fresno 93656,36.432888552748,-119.80456681913,Riverdale 93656 Stockpile Fresno,Destination Address,Broker,,,,2024-07-05,False,,,,850.0,57.5,53,16
2024AR_J&D Wilson Dry Cows_430 W Mt. Whitney Ave_Fresno,2,70,71,J&D Wilson Dry Cows,430 W Mt. Whitney Ave Riverdale Fresno 93656,36.432888552748,-119.80456681913,Riverdale 93656 Stockpile Fresno,Destination Address,Broker,,,,2024-09-10,False,,,,11410.0,56.8,712,214
2024AR_Joe R. Garcia Dairy_20677 East Ave_Fresno,1,90,91,Joe R Garcia Dairy Aka Netto Enterprise,20677 S East Ave Laton Fresno 93242,36.434386316228,-119.780494661076,Hanford 93230 Stockpile Kings,Destination Address,Broker,,,,2024-04-04,False,,,,1500.0,62.9,94,28
2024AR_Kerman Cattle Company_4301 S Dickenson Ave_Fresno,1,53,54,Kerman Cattle Co,4301 S Dickenson Fresno Fresno 93706,36.673706707858,-119.974689111102,Kerman 93656 Kamm Fresno,Destination Address,Broker,,,,2024-10-22,False,,,,2200.0,53.0,137,41
"2024AR_Kiss Cattle, LLC_2585 S Chateau Fresno Ave_Fresno",1,28,29,Kiss Cattle Llc,2585 South Chateau Fresno Avenue Fresno Ca 93706,36.696670146983,-119.935860279918,Muscat-Westlawn,Destination Address,Other,,,,2024-11-01,False,,,,1064.0,46.2,66,20
"2024AR_Kiss Cattle, LLC_2585 S Chateau Fresno Ave_Fresno",2,30,31,Kiss Cattle Llc,2585 South Chateau Fresno Avenue Fresno Ca 93706,36.696670146983,-119.935860279918,Central Dickenson,Destination Address,Other,,,,2024-07-05,False,,,,525.0,79.9,33,10
"2024AR_Kiss Cattle, LLC_2585 S Chateau Fresno Ave_Fresno",3,32,33,Kiss Cattle Llc,2585 South Chateau Fresno Avenue Fresno Ca 93706,36.696670146983,-119.935860279918,Jensen-Westlawn,Destination Address,Other,,,,2024-10-02,False,,,,355.0,46.2,22,7
2024AR_L & J Vanderham Dairy_10772 W Mt. Whitney Ave_Fresno,1,61,62,L+J Vanderham,10772 W Mount Whitney Ave Riverdale 93656,36.431456965595,-119.99397922307,12th + Kent Ave Hanford 93230,Destination Address,Other,36.225824071184,-119.645727126567,2024-12-02,2024-12-04,False,,,,323.0,49.0,20,6
2024AR_LaSalle Dairy_10663 7.5 Ave_Madera,1,33,34,Lasalle Dairy,10663 7 1/2 Ave Firebaugh Madera 93622,36.860566780372,-120.349437631829,Avenue 23 Avenue 23 Chowchilla 93610 Avenue 23 & Road 19 Madera,Destination Address,Composting Facility,37.083455947202,-120.35325721014,,2024-05-22,False,,,,4150.0,63.5,259,78
2024AR_LaSalle Dairy_10663 7.5 Ave_Madera,2,35,36,La Salle Dairy,10663 Ave 7 12 Firebaugh 93622,36.853988268175,-120.325678219002,Ryan Machado 559 474-2377,Destination Contact Address,Composting Facility,37.655856668849,-121.822869424706,2024-05-15,2024-05-22,False,,,,4150.0,4150.0,259,78
2024AR_Maple Dairy_19860 Maple St_Fresno,1,69,70,Maple Dairy,19860 S. Maple Avenue Laton Ca 93242,36.436054318911,-119.754510610022,10071 6th Avenue Hanford 93230,Destination Address,Broker,36.327387507226,-119.56385859268,2024-01-31,2024-03-12,False,,,,277.62,66.1,17,5
2024AR_Mt. Whitney Dairy_2792 W Mt. Whitney Ave_Fresno,1,106,107,Mt. Whitney Dairy,2792 W Mt. Whitney AVE Riverdale Fresno 93656,,,20784 S Marks Ave Riverdale 93656,Destination Address,Farmer,36.436559071968,-119.846083139929,,,False,,,,2380.0,57.9,149,45
2024AR_Mt. Whitney Dairy_2792 W Mt. Whitney Ave_Fresno,2,108,109,Mt. Whitney Dairy,2792 W Mt. Whitney AVE Riverdale Fresno 93656,,,20784 S Marks Ave Riverdale 93656,Destination Address,Farmer,36.436559071968,-119.846083139929,,,False,,,,1170.0,57.9,73,22
2024AR_Mt. Whitney Dairy_2792 W Mt. Whitney Ave_Fresno,3,110,111,Mt. Whitney Dairy,2792 W Mt. Whitney AVE Riverdale Fresno 93656,,,22391 S Hughes Ave Riverdale 93656,Destination Address,Farmer,36.411198995268,-119.845374785292,,,False,,,,204.0,58.5,13,4
2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,1,126,127,Morning Star Dairy Inc,10262 W Elkhom Ave Burrel Fresno 93607,,,19721 Excelsior Ave Riverdale 93656 Fresno Fresno,Destination Address,Broker,36.40155859124,-119.810950979502,,2024-11-25,False,,,,619.45,73.0,39,12
2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,2,128,129,Morning Star Dairy Inc,10262 W Elkhorn Ave Burre!L Fresno 93607,36.488537093805,-119.974531927924,10241 W Elkhorn Ave Burrel 93607 Fresno Fresno,Destination Address,Farmer,36.487514253933,-119.977400489141,,2024-05-28,False,,,,1051.73,76.0,66,20
2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,3,130,131,Morning Star Dairy Inc,10262 W Elkhorn Ave Burrel Fresno 93607,36.488537093805,-119.974531927924,18919 Ave 23 Chowchilla 93610 Madera Madera,Destination Address,Composting Facility,37.084985532372,-120.20391429784,,2024-06-24,False,,,,1968.19,73.0,123,37
2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,4,132,133,Morning Star Dairy Inc,10032 W Elkhorn Ave Fresno,36.495805758282,-119.980192333451,"113 Walnut St Madera, CA 93637",Destination Address,Broker,36.949421617645,-120.056857997578,,2024-11-22,True,,,,724.81,73.0,45,14
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,1,103,103,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,015-091-045,Destination Assessor Parcel Number,Other,34.397981,-119.726314,2024-10-23,2024-10-28,False,,,,289.89,,18,5
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,2,104,104,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,180 Whitesbridge Rd Jones Place Kerman,Destination Address,Other,,,,2024-11-14,False,,,,56.7,,4,1
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,3,105,105,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,015-080-075,Destination Assessor Parcel Number,Other,39.770636,-121.837778,,2024-10-28,False,,,,145.07,,9,3
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,4,106,106,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,015-040-425,Destination Assessor Parcel Number,Other,37.9715,-122.311281,,2024-11-11,False,,,,21.25,,1,0
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,5,107,107,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,015-080-115,Destination Assessor Parcel Number,Other,37.967097,-121.995926,,2024-11-14,False,,,,22.61,,1,0
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,6,108,108,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,015-091-01,Destination Assessor Parcel Number,Other,33.71777,-117.871676,2024-10-23,2024-10-29,False,,,,204.72,,13,4
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,7,109,109,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,015-091-165,Destination Assessor Parcel Number,Other,33.984897,-117.476823,,2026-11-21,False,,,,121.46,,8,2
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,8,110,110,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,40-131-04,Destination Assessor Parcel Number,Other,36.959586,-122.039773,,2026-11-24,False,,,,63.54,,4,1
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,9,111,111,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,015-070-345,Destination Assessor Parcel Number,Other,33.746245,-117.279282,,2024-10-30,False,,,,169.92,,11,3
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,10,112,112,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,Satragni Bros. Ranch 2200W. Shields Kerman 93630,Destination Contact Address,Other,36.7764904,-120.1863291,2024-11-06,2024-12-10,False,,,,581.95,,36,11
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,11,113,113,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,Satragni Bris Ranch W. Shields Kerman 93630,Destination Contact Address,Other,36.7785844,-120.1020637,2024-12-22,2024-12-30,False,,,,541.2,,34,10
2024AR_Pacheco Dairy_1108 N Plumas Ave_Fresno,12,114,115,Pacheco Dairy Inc.,1108 N. Plumas Kerman 93630,36.751778603881,-120.139670027485,Belmont Plumas Kermen,Destination Address,Other,36.749261729809,-120.223088287985,,,False,,,,300.04,,19,6
"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",1,126,127,Philip Verwey Dairy Inc.,12852 Road 9 Madera Madera 93637,36.935440980334,-120.391556024734,6465 State Hwy 152 Dos Palos 93620 State Hwy Merced,Destination Address,Broker,37.047125774923,-120.607794877425,,2024-10-30,False,,,,3250.0,87.7,203,61
"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",2,128,129,Philip Verwey Dairy Inc.,12852 Road 9 Madera Madera 93637,36.935440980334,-120.391556024734,6465 State Hwy 152 Dos Palos 93620 State Hwy Merced,Destination Address,Broker,37.047125774923,-120.607794877425,,2024-07-09,False,,,,1700.0,36.2,106,32
"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",3,130,131,Philip Verwey Dairy Inc.,12852 Road 9 Madera Madera 93637,36.935440980334,-120.391556024734,6465 State Hwy 152 Dos Palos 93620 State Hwy Merced,Destination Address,Broker,37.047125774923,-120.607794877425,,2024-07-09,False,,,,3000.0,87.7,187,56
2024AR_Rivas Dairy_41198 W Valeria Ave_Fresno,1,23,24,Rivas Dairy,41198 W Valeria Ave Dos Palos Fresno 93620,36.981815987186,-120.53036288397,Dos Palos 93620 W. Valeria And Jerrold Avenues Fresno,Destination Address,Farmer,36.981798981774,-120.527234981082,,2024-10-01,False,,,,735.0,62.1,46,14
2024AR_Rivas Dairy_41198 W Valeria Ave_Fresno,2,25,26,Rivas Dairy,41198 W Valeria Ave Dos Palos Fresno 93620,36.981815987186,-120.53036288397,Dos Palos 93620 W. Valeria Avenue And Jerrold Avenue Fresno,Destination Address,Farmer,36.981798981774,-120.527234981082,,2024-05-30,False,,,,880.0,86.2,55,17
2024AR_River Oaks Dairy_3621 E Mt. Whitney Ave_Fresno,1,49,50,River Oaks Dairy,3621 E. Mt. Whitney Laton Ca 93242,,,10071 6Th Avenue Hanford 93230,Destination Address,Broker,36.327387507226,-119.56385859268,2024-01-31,2024-03-12,False,,,,208.22,69.9,13,4
