Dairy Name,Dairy Address,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,Estimated Total Manure (tons),USDA Nitrogen Estimate (lbs),UCCE Nitrogen Estimate (lbs),Wastewater to Milk Ratio,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Estimated Milk Production (lb per cow per day),Estimated Milk Production (kg per cow),Estimated Milk Production (L per cow),Estimated Annual Milk Production (L),Milk Production Discrepancy (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted-for N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted-for P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted-for K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted-for Salt (lbs),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),Milk Production Source,Calculated Manure Factor,Nitrogen Discrepancy,Wastewater Ratio Discrepancy,Manure Factor Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation
—Sozinho Jerseys 2,5811 Lacey BLVD,900.0,0,0,0,0,0,898.0,0,0,0,0,0,,25122.74,61.0,226227.41,323182.02,53710.9,166665.41,446278.2,0.0,50466.62,5989.26,129623.12,499625.5,0,0,0,0,0.0,0,0,0,50466.62,0,0,0,0.82,0,0,0,2023AR_Sozinho Jerseys 2_5811 Lacey Boulevard_Kings.pdf,3681.7999999999997,47568.856,327770.0,0,27.669112,28.49918536,9341177.9854472,61.0,27.669112,28.49918536,9341177.9854472,0.0,0.0,50466.62,276694.03,226227.41000000003,0,59700.16,59700.16,0,296288.53,296288.53,0,945903.7,945903.7,0.0,0.0,Reported,27.976325167037864,-178658.554,0.0,23.876325167037862,-78.97299182269735,44.88518433730024
,17800 4th AVE,1231.0,0,0,0,0,0,1208.0,0,0,0,0,0,,0.0,0.0,347337.32,496196.17,82394.79,236674.99,599830.05,0.0,223691.47,46566.21,485306.48,2515208.57,0,0,0,0,0.0,0,0,0,223691.47,0,0,0,1.05,0,0,0,2023AR_Parreira & Gaspar Dairy_17800 4th Avenue_Kings.pdf,4952.799999999999,63990.17599999999,440920.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223691.47,571028.79,347337.32000000007,0,128961.0,128961.0,0,721981.47,721981.47,0,3115038.62,3115038.62,0.0,0.0,Estimated,0.0,-283347.14400000003,0.0,-4.1,-81.57693621865914,26.942880770773492
Dover Dairy,4265 Dover AVE Hanford Kings 93230,2155.0,0,0,0,0,0,2150.0,0,0,0,0,0,,78916.2,68.0,680255.83,971794.04,157604.4,408919.74,1075563.75,0.0,182419.99,55244.2,294814.37,2131825.17,0,0,0,0,132354.72,0,0,0,182419.99,0,0,0,1.17,0,0,0,2023AR_Dover Dairy_4265 Dover Avenue_Kings.pdf,8815.0,113889.8,784750.0,0,30.844256,31.769583680000004,24931180.792880002,68.0,30.844256,31.769583680000004,24931180.792880002,0.0,0.0,314774.70999999996,862675.82,547901.11,0,212848.59999999998,212848.59999999998,0,703734.11,703734.11,0,3207388.92,3207388.92,0.0,0.0,Reported,36.70520930232558,-566366.0299999999,0.0,32.60520930232558,-83.25779876079856,15.361010577447024
Dixie Creek Ranch,3601 Lacey Blvd. Hanford Kings 93230,6500.0,0,0,0,0,0,6500.0,0,0,0,0,0,,174409.77,80.0,1595797.39,0.0,387395.35,0.0,0.0,0.0,0.0,0.0,316410.29,2308681.03,0,0,0,0,0.0,0,0,0,209533.95,0,0,0,1.21,0,0,0,2023AR_Dixie Creek Ranch_3601 Lacey Boulevard_Kings.pdf,26649.999999999996,344317.99999999994,2372500.0,0,36.28736,37.3759808,88674514.448,80.0,36.28736,37.3759808,88674514.448,0.0,0.0,209533.95,1595797.39,1386263.44,0,387395.35,387395.35,0,316410.29,316410.29,0,2308681.03,2308681.03,0.0,0.0,Reported,26.832272307692307,-1251479.39,0.0,22.732272307692305,-78.42345136308313,48.671755879986755
Dutra & Dutra Dairy,7480 5th AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,123611.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3827.76,0,0,0,8599.42,0,0,0,0.5,0,0,0,2023AR_Dutra & Dutra Dairy_7480 5th Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12427.18,123611.93,111184.75,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-123611.93,0.0,0.0,-100.0,-100.0
"DOUBLE ""N"" DAIRY",12700 EVERETT AVE HANFORDCA Kings 93230,935.0,0,0,0,0,0,935.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8640.0,0,0,0,61716.64,0,0,0,1.29,0,0,0,2023AR_Double N Dairy_12700 Everett Avenue_Kings.pdf,3833.4999999999995,49528.81999999999,341275.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70356.64,0.0,-70356.64,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,49528.81999999999,0.0,-4.1,0.0,0.0
Joe B Pacheco Dairy,16025 6 1/2 AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,295348.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,168471.57,0,0,0,1.34,0,0,0,2023AR_Tony Cox Dairy #4_16025 6 1-2 Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168471.57,295348.73,126877.15999999997,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-295348.73,0.0,0.0,-100.0,-100.0
_ Flatland Farms,8431 15th AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,244055.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,18285.62,0,0,0,1.23,0,0,0,"2023AR_Flatland Farms, LLC_8483 15th Avenue_Kings.pdf",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18285.62,244055.74,225770.12,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-244055.74,0.0,0.0,-100.0,-100.0
White River Dairy,20784 Laurel AVE Stratford Kings 93266,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,191795.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22429.87,0,0,0,81869.71,0,0,0,0.9,0,0,0,2023AR_White River Dairy_20784 Laurel Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104299.58,191795.72,87496.14,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-191795.72,0.0,0.0,-100.0,-100.0
Bar E Dairy,6970 Corona AVE Kingsburg Kings 93631,1000.0,0,0,0,0,0,969.0,0,0,0,0,0,,0.0,0.0,240150.38,0.0,0.0,0.0,0.0,0.0,59266.75,8529.81,85572.13,400093.1,0,0,0,0,0.0,0,0,0,59266.75,0,0,0,1.32,0,0,0,2023AR_Bar E Dairy_6740 Corona Avenue_Kings.pdf,3972.8999999999996,51329.867999999995,353685.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59266.75,299417.13,240150.38,0,8529.81,8529.81,0,85572.13,85572.13,0,400093.1,400093.1,0.0,0.0,Estimated,0.0,-188820.51200000002,0.0,-4.1,-78.62594762498398,47.276469019120434
,,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,"2023AR_Jackson Dairy, LLC_8637 Jackson Avenue_Kings.pdf",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
— Garcia & Sons Dairy,15315 17th Avenue Lemoore Kings 93245,46.0,0,0,0,0,0,40.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8776.01,0,0,0,12270.39,0,0,0,1.06,0,0,0,2023AR_Garcia & Sons Dairy_15405 17th Avenue_Kings.pdf,164.0,2118.88,14600.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21046.4,0.0,-21046.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,2118.88,0.0,-4.1,0.0,0.0
Double N Dairy II,18104 Everett AVE Laton Kings 93242,815.0,0,0,0,0,0,815.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61176.09,8859.51,60553.28,403486.8,0,0,0,0,0.0,0,0,0,61176.09,0,0,0,1.3,0,0,0,2023AR_Double N Dairy ll_18104 Everett Avenue_Kings.pdf,3341.4999999999995,43172.17999999999,297475.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61176.09,61176.09,0.0,0,8859.51,8859.51,0,60553.28,60553.28,0,403486.8,403486.8,0.0,0.0,Estimated,0.0,43172.17999999999,0.0,-4.1,0.0,0.0
Antonio Garcia Dairy,6571 Fargo AVE Hanford Kings 93230,510.0,0,0,0,0,0,505.0,0,0,0,0,0,,13864.24,70.0,125991.92,179988.45,30198.51,96712.16,246977.25,0.0,52385.68,10801.48,65482.95,407419.59,0,0,0,0,33197.44,0,0,0,52385.68,0,0,0,1.64,0,0,0,2023AR_Antonio Garcia Dairy_6571 Fargo Avenue_Kings.pdf,2070.5,26750.86,184325.0,0,31.75144,32.703983199999996,6028161.70334,70.0,31.75144,32.703983199999996,6028161.70334,0.0,0.0,85583.12,178377.6,92794.48000000001,0,40999.99,40999.99,0,162195.11,162195.11,0,654396.8400000001,654396.8400000001,0.0,0.0,Reported,27.453940594059407,-99241.06,0.0,23.35394059405941,-78.76779717302507,46.29906425745397
—Sozinho Jerseys,4615 Excelsior AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,272985.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,205629.76,0,0,0,1.19,0,0,0,2023AR_Sozinho Jerseys Dairy_4615 Excelsior Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205629.76,272985.21,67355.45000000001,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-272985.21,0.0,0.0,-100.0,-100.0
Santa Anita Dairy,4356 Kansas AVE,349.0,0,0,0,0,0,338.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,57.0,288.0,0,0,0,0,0.0,0,0,0,25934.05,0,0,0,1.27,0,0,0,2023AR_Santa Anita Dairy_4356 Kansas Avenue_Kings.pdf,1385.8,17904.536,123370.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25934.05,25.0,-25909.05,0,5.0,5.0,0,57.0,57.0,0,288.0,288.0,0.0,0.0,Estimated,0.0,17904.536,0.0,-4.1,0.0,0.0
—LU/AR Dairy,6121 15th AVE Hanford Kings 93230,1000.0,0,0,0,0,0,1000.0,0,0,0,0,0,,25651.5,70.0,234766.07,335380.1,56777.83,191509.23,470850.0,0.0,125419.22,16112.8,143567.3,840107.34,0,0,0,0,258056.55,0,0,0,125419.22,0,0,0,0.74,0,0,0,2023AR_Lu-Ar Dairy_6121 15th Ave_Kings.pdf,4100.0,52972.0,365000.0,0,31.75144,32.703983199999996,11936953.867999999,70.0,31.75144,32.703983199999996,11936953.867999999,0.0,0.0,383475.77,360185.29000000004,-23290.47999999998,0,72890.63,72890.63,0,335076.53,335076.53,0,1310957.3399999999,1310957.3399999999,0.0,0.0,Reported,25.6515,-181794.07,0.0,21.551499999999997,-77.43626240367699,55.47391494861246
Mattos Bro. #4,4555 Kansas AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,2023AR_Mattos Dairy #4_4555 Kansas Ave_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Joaquim Mattos & Family Dairy,4790 Kansas AVE Hanford Kings 93230,1055.0,0,0,0,0,0,1041.0,0,0,0,0,0,,0.0,0.0,315083.69,0.0,0.0,0.0,0.0,0.0,80837.0,14161.32,115564.36,734166.0,0,0,0,0,54296.32,0,0,0,80837.0,0,0,0,1.26,0,0,0,2023AR_Joaquim Mattos & Family Dairy_4790 Kansas Avenue_Kings.pdf,4268.099999999999,55143.85199999999,379965.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135133.32,395920.69,260787.37,0,14161.32,14161.32,0,115564.36,115564.36,0,734166.0,734166.0,0.0,0.0,Estimated,0.0,-259939.83800000002,0.0,-4.1,-82.49866503721599,20.591770395985904
Phoenix Dairy,10736 1 1/2 Avenue Hanford Kings 93230,605.0,0,0,0,0,0,590.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.0,173.0,958.0,0,0,0,0,0.0,0,0,0,100384.24,0,0,0,1.25,0,0,0,2023AR_Phoenix Dairy_10736 1 1-2 Avenue_Kings.pdf,2419.0,31253.48,215350.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100384.24,100.0,-100284.24,0,14.0,14.0,0,173.0,173.0,0,958.0,958.0,0.0,0.0,Estimated,0.0,31253.48,0.0,-4.1,0.0,0.0
J.D. Mello Dairy,15609 Grangeville BLVD Hanford Kings 93230,980.0,0,0,0,0,0,980.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37560.0,0,0,0,135409.91,0,0,0,1.34,0,0,0,2023AR_JD Mello Dairy_15609 Grangeville Boulevard_Kings.pdf,4017.9999999999995,51912.55999999999,357700.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172969.91,0.0,-172969.91,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,51912.55999999999,0.0,-4.1,0.0,0.0
Sierra Blanca Ranch #2,15010 5th AVE Hanford Kings 93230,1.0,0,0,0,0,0,1.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,2023AR_Sierra Blanca Ranch #2_15010 5th Avenue_Kings.pdf,4.1,52.971999999999994,365.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,52.971999999999994,0.0,-4.1,0.0,0.0
Over the Moon Dairy,9455 2nd Avenue Hanford Kings 93230,251.0,0,0,0,0,0,234.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48523.44,0,0,0,22579.33,0,0,0,1.3,0,0,0,2023AR_Over The Moon Dairy_9455 Second Avenue_Kings.pdf,959.3999999999999,12395.447999999999,85410.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71102.77,0.0,-71102.77,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,12395.447999999999,0.0,-4.1,0.0,0.0
