template,ocr_format,parameter_key,section_start,section_end,row_search_text,search_direction,item_order,ignore_before,ignore_after,notes
manifest_attachment_d,fitz,origin_dairy_name,Operator Information,Hauler Information,Name of Dairy Facility,right,NA,:,NA,Same line after label
manifest_attachment_d,fitz,origin_dairy_address,Operator Information,Hauler Information,Facility Address,right,NA,:,NA,Same line after label
manifest_attachment_d,fitz,hauler_name,Hauler Information,Destination Information,Name of Hauling Company,right,NA,:,NA,Same line after label
manifest_attachment_d,fitz,hauler_address,Hauler Information,Destination Information,Address of Hauling Company,right,NA,:,NA,Same line after label
manifest_attachment_d,fitz,destination_type,Destination Information,Contact information,Composting Facility,right,NA,(please circle one),NA,Circled value
manifest_attachment_d,fitz,destination_name,Contact information of Composting,Destination Address,Name,right,NA,NA,NA,After Name label
manifest_attachment_d,fitz,destination_address,Destination Address or Assessor,Dates Hauled,Number and Street,right,NA,NA,NA,Street address
manifest_attachment_d,fitz,destination_parcel_number,Destination Address or Assessor,Dates Hauled,Assessor's Parcel Number,right,NA,NA,NA,APN value
manifest_attachment_d,fitz,haul_date,Dates Hauled,Amount Hauled,Dates Hauled,right,NA,:,NA,Date range
manifest_attachment_d,fitz,manure_amount_tons,Enter the amount of manure,tons and the method,Manure:,right,NA,:,tons,Amount after colon before tons
manifest_attachment_d,fitz,manure_method,method used to calculate,NA,method used,right,NA,:,NA,Method description
manifest_attachment_d,fitz,wastewater_haul_type,Enter the amount of process wastewater,Written Agreement,Process Wastewater Haul Type:,below,NA,NA,NA,Haul type (Truck/Pipeline) on next line after label
manifest_attachment_d,marker,origin_dairy_name,Operator Information,Hauler Information,Name of Dairy Facility,right,NA,:,|,Same cell or next cell
manifest_attachment_d,marker,origin_dairy_address,Operator Information,Hauler Information,Facility Address,right,NA,:,|,Same line after label
manifest_attachment_d,marker,hauler_name,Hauler Information,Destination Information,Name of Hauling Company,right,NA,:,|,Same line after label
manifest_attachment_d,marker,hauler_address,Hauler Information,Destination Information,Address of Hauling Company,right,NA,:,|,Same line after label
manifest_attachment_d,marker,destination_type,Destination Information,Contact information,Composting Facility,right,NA,(please circle one),|,Circled value
manifest_attachment_d,marker,destination_name,Contact information of Composting,Destination Address,Name,right,NA,:,|,After Name label
manifest_attachment_d,marker,destination_address,Destination Address or Assessor,Dates Hauled,Number and Street,right,NA,:,|,Street address
manifest_attachment_d,marker,destination_parcel_number,Destination Address or Assessor,Dates Hauled,Assessor's Parcel Number,right,NA,:,|,APN value
manifest_attachment_d,marker,haul_date,Dates Hauled,Amount Hauled,Dates Hauled,right,NA,:,|,Date range
manifest_attachment_d,marker,manure_amount_tons,Enter the amount of manure,tons and the method,Manure:,right,NA,:,tons,Amount after colon before tons
manifest_attachment_d,marker,manure_method,method used to calculate,NA,method used,right,NA,:,|,Method description
manifest_attachment_d,marker,wastewater_haul_type,Enter the amount of process wastewater,Written Agreement,Process Wastewater Haul Type:,right,NA,:,|,Haul type (Truck/Pipeline) in table cell
