Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,ww_to_reported_milk,ww_to_estimated_milk,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content
CSUF Ag Foundation Dairy,5450 N Sierra Vista AVE Fresno Fresno 93740,160.0,0,0,0,0,0,,5916.57,65.0,51772.67,73960.95,12028.98,30115.88,83844.15,7032000.0,25152.07,2861.08,18467.65,101703.09,48556.17,0,0,0,25152.07,25152.07,0,0,0,0.95,0,0,0,2023AR_CSUF Dairy_5450 N Sierra Vista Ave_Fresno.pdf,29.48348,30.3679844,1773490.28896,160.0,73708.23999999999,76924.73999999999,0.0,0,14890.06,0.0,0,48583.53,0.0,0,185547.24,0.0,26619003.12,15.009387582048596,0.0,0.0,36.978562499999995,32.878562499999994,152884168.79999998,8475.52,152832396.13,295198.9845800883,-83.62935502457184,295198.9845800883,-83.62935502457184,,,,,,,,,,,,,,,
J&D Wilson Dry Cows,430 W Mt. Whitney AVE Riverdale Fresno 93656,0.0,0,0,0,0,0,,17240.34,1.0,117019.0,167170.0,26780.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82517.58,0,0,0,0.0,0.0,0,0,0,1.22,0,0,0,2023AR_J&D Wilson Dry Cows_430 W Mt. Whitney Ave_Fresno.pdf,0.453592,0.46719976,0.0,0.0,82517.58,117019.0,0.0,0,26780.05,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445490385.59999996,0.0,445373366.59999996,380599.1903878857,-100.0,380599.1903878857,-100.0,,,,,,,,,,,,,,,
— Grain Mill Group East,4604 W Harlan AVE Riverdale Fresno 93656,0.0,0,0,0,0,0,,1.0,1.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Monteiro Bros. Dairy #2_4604 W Harlan Ave_Fresno.pdf,0.453592,0.46719976,0.0,0.0,0.0,0.7,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25840.0,0.0,25839.3,3691328.571428572,-100.0,3691328.571428572,-100.0,,,,,,,,,,,,,,,
Bapu Farming Company,7500 Ave. 14 Madera Madera 93637,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Bapu Farming_7500 Ave 14_Madera.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Jose Ribeiro & Son Dairy Inc.,3760 E Mount Whitney AVE,700.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,31601.55,31601.55,0,0,0,0.51,0,0,0,2023AR_Jose Ribeiro & Son Dairy_3666 E Mt. Whitney Ave_Fresno.pdf,0.0,0.0,0.0,700.0,31601.55,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,37080.399999999994,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
White River Dairy,20400 Ave. 17 1/2 AVE Madera Madera 93637,1550.0,0,0,0,0,0,,51913.67,74.0,458270.34,654671.91,107473.14,300912.7,774657.75,21420000.0,110648.48,28620.69,146594.19,667516.09,0.0,0,0,0,110648.48,110648.48,0,0,0,1.34,0,0,0,2023AR_White River Dairy_20400 Ave 17.5_Madera.pdf,33.565808,34.572782239999995,19559551.552279998,1550.0,110648.48,568918.8200000001,0.0,0,136093.83,0.0,0,447506.89,0.0,0,1442173.8399999999,0.0,81083482.2,4.145467342810748,0.0,0.0,33.49269032258064,29.39269032258064,1341449232.8,82106.59999999999,1340990962.46,292620.064056513,-82.08337026568205,292620.064056513,-82.08337026568205,,,,,,,,,,,,,,,
Coelho Farms Dairy Inc.,21656 S Cornelia AVE Riverdale Fresno 93656,0.0,0,0,0,0,0,,29.39,1.0,199.29,284.7,48.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,2.32,0,0,0,2023AR_Coelho Farms Dairy_21655 S Cornelia Ave_Fresno.pdf,0.453592,0.46719976,0.0,0.0,0.0,199.29,0.0,0,48.18,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759437.6,0.0,759238.3099999999,380971.6041948919,-100.0,380971.6041948919,-100.0,,,,,,,,,,,,,,,
Morning Star Dairy Inc,10262 W Elkhorn AVE Burrel Fresno 93607,1171.0,0,0,0,0,0,,43591.87,73.0,376408.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74631.68,0,0,0,25583.69,25583.69,0,0,0,0.57,0,0,0,2023AR_Morning Star Dairy_10032 W Elkhorn Ave_Fresno.pdf,33.112216,34.105582479999995,14577237.535689197,1171.0,100215.37,376408.1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.22619128949616,33.126191289496155,1126413920.8,62030.21199999999,1126037512.7,299153.36909593607,-83.52048959626532,299153.36909593607,-83.52048959626532,,,,,,,,,,,,,,,
Philip Verwey Dairy Inc.,12852 Road 9 Madera Madera 93637,2600.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30984000.0,170645.97,13176.28,265080.99,1374449.54,151407.7,0,0,0,170645.97,170645.97,0,0,0,0.91,0,0,0,"2023AR_Philip Verwey Dairy, Inc._12852 Rd 9_Madera.pdf",0.0,0.0,0.0,2600.0,322053.67000000004,170645.97,0.0,0,13176.28,0.0,0,265080.99,0.0,0,1374449.54,0.0,117287143.44000001,0.0,0.0,0.0,0.0,-4.1,0.0,137727.19999999998,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
,23732 Road 12,0.0,0,0,0,0,0,,0.0,0.0,546768.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401080.1,0,0,0,110291.77,110291.77,0,0,0,1.34,0,0,0,2023AR_Fagundes Dairy_23548 Road 12_Madera.pdf,0.0,0.0,0.0,0.0,511371.87,546768.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-546768.6,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,
RIVAS DAIRY,41198 W Valeria AVE Dos Palos Fresno 93620,0.0,0,0,0,0,0,,0.0,0.0,53100.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9295.8,9295.8,0,0,0,1.37,0,0,0,2023AR_Rivas Dairy_41198 W Valeria Ave_Fresno.pdf,0.0,0.0,0.0,0.0,9295.8,53100.14,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53100.14,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,
Bar None Dairy / van der Hoek Dairy,15886 S Lassen AVE Helm Fresno 93627,0.0,0,0,0,0,0,,0.0,0.0,1031466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213577.11,0,0,0,99355.71,99355.71,0,0,0,1.23,0,0,0,2023AR_Bar None Van Der Hoek Dairy_15886 S Lassen Ave_Fresno.pdf,0.0,0.0,0.0,0.0,312932.82,1031466.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1031466.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,
J&F Martins Dairy #2,541 East Wood AVE Laton Kings 93242,435.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38016847.0,0.0,0.0,0.0,0.0,25086.61,0,0,0,67825.59,67825.59,0,0,0,0.94,0,0,0,2023AR_J & F Martins Dairy #2_541 E Woods Ave_Fresno.pdf,0.0,0.0,0.0,435.0,92912.2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,143909352.80227,0.0,0.0,0.0,0.0,-4.1,0.0,23042.819999999996,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Frank S. Brown Co.,22045 S Valentine AVE Riverdale Fresno 93656,1415.0,0,0,0,0,0,,50807.21,75.0,438901.86,627002.65,103799.8,275633.83,728109.3,34242000.0,190701.5,19043.61,195684.01,1422086.8,70374.49,0,0,0,190701.5,190701.5,0,0,0,0.69,0,0,0,2023AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno.pdf,34.0194,35.039981999999995,18097274.703449998,1415.0,261075.99,629603.36,0.0,0,122843.41,0.0,0,471317.84,0.0,0,2150196.1,0.0,129620009.22,7.162404911458283,0.0,0.0,35.9061554770318,31.8061554770318,1312858306.3999999,74955.37999999999,1312419404.54,299023.43192166014,-82.9220637160207,299023.43192166014,-82.9220637160207,,,,,,,,,,,,,,,
AJ Slenders Dairy,625 E Coleman AVE Laton Fresno 93242,1012.0,0,0,0,0,0,,35675.27,66.0,0.0,436853.17,0.0,191147.8,501794.7,30835000.0,90474.48,12953.52,64769.56,455182.0,0.0,0,0,0,38818.18,38818.18,0,0,0,1.23,0,0,0,2023AR_AJ Slenders Dairy_625 E Coleman Ave_Fresno.pdf,29.937072,30.83518416,11389900.3250208,1012.0,38818.18,90474.48,0.0,0,12953.52,0.0,0,255917.36,0.0,0,956976.7,0.0,116723117.35000001,10.247948974021146,0.0,0.0,35.25224308300395,31.152243083003945,921848976.8,53607.664,921848976.8,0.0,0.0,,,,,,,,,,,,,,,,,
Joe R Garcia Dairy AKA Netto Enterprise,20677 S East AVE Laton Fresno 93242,1030.0,0,0,0,0,0,,27700.25,69.0,253477.71,362111.01,60599.56,196577.79,507970.5,27735000.0,66809.1,15787.8,77615.25,565498.79,151860.0,0,0,0,118465.4,118465.4,0,0,0,0.99,0,0,0,2023AR_Joe R. Garcia Dairy_20677 E St_Fresno.pdf,31.297848,32.236783439999996,12119418.734268,1030.0,270325.4,320286.81,0.0,0,76387.36,0.0,0,274193.04000000004,0.0,0,1073469.29,0.0,104988346.35000001,8.662820276449603,0.0,0.0,26.893446601941747,22.793446601941746,715774460.0,54561.159999999996,715520982.29,282281.61848629604,-78.47496728607814,282281.61848629604,-78.47496728607814,,,,,,,,,,,,,,,
Joao Cardoso Dairy Inc.,24699 Avenue 11 Madera Madera 93637,280.0,0,0,0,0,0,,7952.92,65.0,71716.88,102452.68,17024.48,52702.78,139886.25,1980000.0,5601.33,647.71,8707.67,40481.6,0.0,0,0,0,5601.33,5601.33,0,0,0,1.27,0,0,0,2023AR_Joao Cardodo Dairy Inc._24699 Ave 11_Madera.pdf,29.48348,30.3679844,3103608.0056800004,280.0,5601.33,77318.21,0.0,0,17672.19,0.0,0,61410.45,0.0,0,180367.85,0.0,7495111.800000001,2.4149672852637916,0.0,0.0,28.403285714285715,24.303285714285714,205503452.8,14832.16,205431735.92000002,286448.23355394154,-79.31845334041301,286448.23355394154,-79.31845334041301,,,,,,,,,,,,,,,
McREE DAIRY EAST,11812 Avenue 18 Chowchilla Madera 93610,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30540.6,0,0,0,7514.51,7514.51,0,0,0,0.84,0,0,0,2023AR_McRee East Dairy_11812 Ave 18_Madera.pdf,0.0,0.0,0.0,0.0,38055.11,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
HANSEN & SONS INC.,13348 AVENUE 20 CHOWCHILLA Madera 93610,312.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,44.0,122.0,68938.13,0,0,0,26064.44,26064.44,0,0,0,0.84,0,0,0,2023AR_Hansen & Sons Dairy_13348 Ave 20_Madera.pdf,0.0,0.0,0.0,312.0,95002.57,26.0,0.0,0,5.0,0.0,0,44.0,0.0,0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,16527.264,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Joe Mama's Heifer Ranch (Formerly Avila Family Dairy),13644 Avenue 18 1/2 Chowchilla Madera 93610,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Joe Mama_s Heifer Ranch_13644 Ave 18.5_Madera.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Alfred O. Soares Dairy,21282 Road 6 RD Chowchilla Madera 93610,940.0,0,0,0,0,0,,40365.81,60.0,334194.26,477420.37,77487.01,173842.87,474792.0,3090000.0,5757.05,1518.52,6457.03,31393.89,0.0,0,0,0,5757.05,5757.05,0,0,0,0.15,0,0,0,2023AR_Alfred Soares Dairy_21282 Road 6_Madera.pdf,27.215519999999998,28.0319856,9617774.25936,940.0,5757.05,339951.31,0.0,0,79005.53,0.0,0,180299.9,0.0,0,506185.89,0.0,11696916.9,1.2161771096484806,0.0,0.0,42.94235106382978,38.84235106382978,1043052530.4,49793.67999999999,1042718336.14,312009.6485618873,-85.10037844456096,312009.6485618873,-85.10037844456096,,,,,,,,,,,,,,,
A.T.O. Dairy,19249 S Fruit AVE Riverdale Fresno 93656,850.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,12.0,97.0,468.0,145790.0,0,0,0,149183.65,149183.65,0,0,0,1.06,0,0,0,2023AR_A.T.O. Dairy_19249 S Fruit Ave_Fresno.pdf,0.0,0.0,0.0,850.0,294973.65,149.0,0.0,0,12.0,0.0,0,97.0,0.0,0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,45026.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
LaSalle Dairy,10663 7 1/2 AVE Firebaugh Madera 93622,370.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,39.0,220.0,31695.03,0,0,0,19001.57,19001.57,0,0,0,1.15,0,0,0,2023AR_LaSalle Dairy_10663 Ave 7.5_Madera.pdf,0.0,0.0,0.0,370.0,50696.6,19.0,0.0,0,2.0,0.0,0,39.0,0.0,0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,19599.639999999996,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Dry River Dairy,12718 Avenue 25 Chowchilla Madera 93610,965.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25491.0,5026.63,40473.78,203588.63,14569.2,0,0,0,25491.0,25491.0,0,0,0,0.38,0,0,0,2023AR_Dry River Dairy_12718 Ave 25_Madera.pdf,0.0,0.0,0.0,965.0,40060.2,25491.0,0.0,0,5026.63,0.0,0,40473.78,0.0,0,203588.63,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,51117.979999999996,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Troost Dairy,27000 Road 9 Chowchilla Madera 93610,2310.0,0,0,0,0,0,,83312.98,71.0,0.0,0.0,0.0,0.0,0.0,64669500.0,0.0,0.0,296015.62,1999546.33,199054.16,0,0,0,232512.35,232512.35,0,0,0,1.21,0,0,0,2023AR_Troost Dairy_27000 Road 9_Madera.pdf,32.205032,33.17118296,27968282.912724003,2310.0,431566.51,0.0,0.0,0,0.0,0.0,0,296015.62,0.0,0,1999546.33,0.0,244800571.995,8.752792324037506,0.0,0.0,36.066225108225105,31.966225108225103,2152807403.2000003,122365.31999999999,2152807403.2000003,0.0,0.0,,,,,,,,,,,,,,,,,
El Dorado Ranches Inc.,23025 W. American RD San Joaquin Fresno 93660,0.0,0,0,0,0,0,,1.0,1.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_El Dorado Ranches Dairy_23025 W American Ave_Fresno.pdf,0.453592,0.46719976,0.0,0.0,0.0,0.7,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25840.0,0.0,25839.3,3691328.571428572,-100.0,3691328.571428572,-100.0,,,,,,,,,,,,,,,
RuAnn Dairy,7285 W Davis AVE Riverdale Fresno 93656,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44820.0,0,0,0,137074.41,137074.41,0,0,0,0.85,0,0,0,"2023AR_RuAnn Dairy, LLC_7285 W Davis Ave_Fresno.pdf",0.0,0.0,0.0,0.0,181894.41,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
